number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge
2;45.0;5;4;3550000.0;евро;совмещенный;балкон;1974;0;0;кирпичный;р-н Свердловский;улица Холмогорская, 6;0
2;52.0;5;2;3560000.0;косметический;совмещенный;нет;1953;0;0;кирпичный;р-н Свердловский;Комсомольский проспект, 58;0
4;175.0;7;6;16200000.0;евро;несколько;балкон;2003;1;1;кирпичный;р-н Свердловский;улица Краснова, 32;1
3;83.0;20;12;7599000.0;евро;совмещенный;лоджия;2011;2;0;монолитный;р-н Мотовилихинский;улица Юрша, 84;1
3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Индустриальный;улица Карпинского, 77;0
2;52.0;5;2;3560000.0;косметический;совмещенный;нет;1953;0;0;кирпичный;р-н Свердловский;Комсомольский проспект, 58;0
4;175.0;7;6;16200000.0;евро;несколько;балкон;2003;1;1;кирпичный;р-н Свердловский;улица Краснова, 32;1
2;42.0;5;2;2550000.0;евро;совмещенный;нет;1967;0;0;кирпичный;р-н Кировский;улица Закамская, 35;0
3;86.0;12;4;7500000.0;дизайнерский;совмещенный;нет;2009;1;1;монолитный;р-н Дзержинский;улица Докучаева, 42;0
2;45.0;5;4;3550000.0;евро;совмещенный;балкон;1974;0;0;кирпичный;р-н Свердловский;улица Холмогорская, 6;0
1;34.0;10;7;2970000.0;косметический;раздельный;лоджия;1991;1;1;панельный;р-н Мотовилихинский;улица Юрша, 21;0
3;89.0;20;4;9200000.0;дизайнерский;несколько;лоджия;2014;2;0;монолитный;р-н Свердловский;улица Белинского, 31;1
2;51.0;11;9;5100000.0;евро;совмещенный;лоджия;2020;1;0;монолитный;р-н Мотовилихинский;улица Шмидта, 56;1
3;68.0;4;2;4990000.0;косметический;совмещенный;нет;1950;0;0;кирпичный;р-н Свердловский;улица Павла Соловьёва, 12;0
1;40.0;16;16;2450000.0;косметический;совмещенный;балкон;2014;1;0;монолитный;р-н Орджоникидзевский;улица Янаульская, 18;1
2;43.0;5;3;2998154.0;косметический;раздельный;балкон;1969;0;0;кирпичный;р-н Мотовилихинский;улица Добролюбова, 20;0
3;66.0;9;2;3200000.0;требует ремонта;раздельный;балкон;1987;1;1;панельный;р-н Мотовилихинский;улица Зенкова, 8;0
3;60.0;9;2;4150000.0;косметический;совмещенный;лоджия;1979;1;1;панельный;р-н Свердловский;улица Яблочкова, 23Б;0
3;73.0;16;7;8990000.0;евро;несколько;лоджия;2013;1;0;монолитный;р-н Свердловский;улица Куйбышева, 61;1
1;42.0;23;13;4500000.0;евро;совмещенный;лоджия;2012;2;0;монолитный;р-н Дзержинский;улица Татьяны Барамзиной, 54;1
2;45.0;5;2;2800000.0;требует ремонта;совмещенный;нет;1975;0;0;кирпичный;р-н Свердловский;улица Запорожская, 5;0
2;43.0;5;2;3500000.0;евро;совмещенный;нет;1961;0;0;кирпичный;р-н Индустриальный;улица Мира, 51;0
1;30.0;5;4;1949000.0;дизайнерский;совмещенный;балкон;1963;0;0;панельный;р-н Дзержинский;улица Хабаровская, 159;0
3;83.0;25;6;11290000.0;дизайнерский;совмещенный;лоджия;2018;3;1;монолитный;р-н Свердловский;улица Революции, 22;1
1;50.0;17;13;4300000.0;евро;совмещенный;балкон;2010;1;0;кирпичный;р-н Индустриальный;улица Танкистов, 9;1
3;60.0;5;4;3600000.0;евро;совмещенный;балкон;1974;0;0;панельный;р-н Свердловский;улица Солдатова, 6;0
1;35.0;14;8;2800000.0;косметический;совмещенный;лоджия;1981;1;1;кирпичный;р-н Свердловский;улица Моторостроителей, 21;0
4;100.0;8;5;9300000.0;дизайнерский;несколько;лоджия;2003;1;1;кирпичный;р-н Дзержинский;улица Екатерининская, 165;0
2;48.0;9;4;3400000.0;требует ремонта;раздельный;лоджия;1990;1;1;кирпичный;р-н Индустриальный;улица Карпинского, 107;0
3;52.0;9;2;3400000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Свердловский;улица Лодыгина, 56;0
1;35.0;25;5;3700000.0;евро;совмещенный;лоджия;2021;2;0;монолитный;р-н Индустриальный;улица Карпинского, 14;1
3;70.0;16;3;6700000.0;дизайнерский;раздельный;балкон;1996;1;1;кирпичный;р-н Дзержинский;улица Петропавловская, 119;1
1;38.0;7;4;2999000.0;евро;раздельный;лоджия;2007;1;1;панельный;р-н Дзержинский;улица Транспортная, 11;1
2;49.0;10;10;4700000.0;евро;совмещенный;лоджия;1991;1;1;кирпичный;р-н Ленинский;улица Луначарского, 51;0
3;117.0;18;16;15000000.0;дизайнерский;несколько;нет;2005;1;0;кирпичный;р-н Свердловский;улица 25 Октября, 72;1
2;53.0;10;8;4990000.0;евро;раздельный;лоджия;1992;1;1;кирпичный;р-н Дзержинский;Парковый проспект, 33;0
3;94.0;25;22;7990000.0;дизайнерский;несколько;балкон;2012;2;0;монолитный;р-н Индустриальный;улица Космонавта Беляева, 40В;1
4;140.0;12;5;14500000.0;евро;несколько;лоджия;2007;1;0;кирпичный;р-н Свердловский;улица Сибирская, 46;1
1;44.0;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Свердловский;улица Героев Хасана, 11Б;1
3;52.0;5;4;3750000.0;косметический;раздельный;балкон;1974;0;0;кирпичный;р-н Дзержинский;улица Крисанова, 13;0
2;65.0;16;16;5950000.0;евро;раздельный;балкон;2008;1;1;кирпичный;р-н Дзержинский;улица Голева, 13А;0
3;89.0;25;3;6990000.0;евро;раздельный;лоджия;2010;2;0;монолитный;р-н Индустриальный;шоссеКосмонавтов, 215;1
1;31.0;2;1;1500000.0;косметический;совмещенный;нет;1957;0;0;кирпичный;р-н Свердловский;улица Кузбасская, 41;0
4;163.0;25;18;16990000.0;дизайнерский;несколько;нет;2009;2;1;монолитный;р-н Свердловский;улица Чернышевского, 15А;1
1;35.0;25;5;3700000.0;евро;совмещенный;лоджия;2021;2;0;монолитный;р-н Индустриальный;улица Карпинского, 14;1
4;80.0;16;4;5500000.0;требует ремонта;раздельный;балкон;1989;1;0;панельный;р-н Свердловский;улица Куйбышева, 99;1
1;31.0;5;1;2390000.0;косметический;совмещенный;нет;1963;0;0;панельный;р-н Индустриальный;улица Баумана, 21А;0
2;47.0;9;7;3200000.0;требует ремонта;совмещенный;лоджия;1985;1;1;кирпичный;р-н Свердловский;улица Гусарова, 7;0
2;49.0;9;9;2900000.0;косметический;раздельный;лоджия;1979;1;1;кирпичный;р-н Дзержинский;улица Ветлужская, 58;0
3;58.0;5;4;3500000.0;требует ремонта;раздельный;балкон;1973;0;0;кирпичный;р-н Свердловский;улица Чернышевского, 25;0
1;35.0;6;4;2800000.0;косметический;совмещенный;балкон;2016;1;0;кирпичный;р-н Мотовилихинский;улица Лядовская, 127А;0
2;46.0;5;1;3499000.0;евро;раздельный;балкон;1971;0;0;панельный;р-н Индустриальный;улица Чердынская, 8;0
3;94.0;25;22;7990000.0;дизайнерский;несколько;балкон;2012;2;0;монолитный;р-н Индустриальный;улица Космонавта Беляева, 40В;1
1;38.0;7;4;2999000.0;евро;раздельный;лоджия;2007;1;1;панельный;р-н Дзержинский;улица Транспортная, 11;1
4;122.0;9;2;6500000.0;косметический;несколько;лоджия;2001;1;1;панельный;р-н Кировский;улица Капитанская, 12;1
2;45.0;5;5;2200000.0;евро;совмещенный;балкон;1978;0;0;панельный;р-н Орджоникидзевский;улица Уссурийская, 19;0
3;56.0;3;1;2350000.0;евро;совмещенный;балкон;1961;0;0;кирпичный;р-н Кировский;улица Фадеева, 10;0
1;29.0;5;1;2200000.0;косметический;совмещенный;нет;1973;0;0;кирпичный;р-н Мотовилихинский;улица Макаренко, 8;0
2;44.0;9;9;3970000.0;косметический;раздельный;балкон;1976;1;1;панельный;р-н Ленинский;улица Пушкина, 23;0
2;68.0;10;4;5000000.0;евро;раздельный;лоджия;1998;1;0;панельный;р-н Кировский;улица Кировоградская, 12;0
