number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge;distance;price for metre;district population;green rate;repair rate;bathroom rate;terrace rate;age
3;60.0;9;9;2800000.0;косметический;раздельный;лоджия;1983;1;1;панельный;р-н Орджоникидзевский;улица Карбышева, 82/1;0;11695.548410638788;53809.059009550336;115722;4;1;2;2;38
2;59.0;4;3;2980000.0;требует ремонта;раздельный;балкон;1954;0;0;кирпичный;р-н Свердловский;улица Куйбышева, 157;0;5429.606696410186;74318.1778421745;218220;2;0;2;1;67
4;81.0;10;4;5670000.0;косметический;раздельный;балкон;2005;1;0;панельный;р-н Индустриальный;улица Карпинского, 120;0;4888.374486891028;78168.86137903988;169613;3;1;2;1;16
2;56.0;19;8;4990000.0;косметический;раздельный;балкон;2013;2;0;монолитный;р-н Свердловский;улица Чернышевского, 15Г;1;3178.430355088483;74318.1778421745;218220;2;1;2;1;8
2;49.0;17;11;4250000.0;косметический;совмещенный;лоджия;2019;1;1;кирпичный;р-н Дзержинский;улица Кронштадтская, 45;1;1867.421768268744;76055.00621772064;166466;5;1;1;2;2
3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Индустриальный;улица Карпинского, 77;0;3565.7110305293904;78168.86137903988;169613;3;1;2;2;43
2;45.0;5;4;3550000.0;евро;совмещенный;балкон;1974;0;0;кирпичный;р-н Свердловский;улица Холмогорская, 6;0;4817.426515733119;74318.1778421745;218220;2;2;1;1;47
2;52.0;5;2;3560000.0;косметический;совмещенный;нет;1953;0;0;кирпичный;р-н Свердловский;Комсомольский проспект, 58;0;1876.092062369512;74318.1778421745;218220;2;1;1;0;68
3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Индустриальный;улица Карпинского, 77;0;3565.7110305293904;78168.86137903988;169613;3;1;2;2;43
2;52.0;5;2;3560000.0;косметический;совмещенный;нет;1953;0;0;кирпичный;р-н Свердловский;Комсомольский проспект, 58;0;1876.092062369512;74318.1778421745;218220;2;1;1;0;68
2;42.0;5;2;2550000.0;евро;совмещенный;нет;1967;0;0;кирпичный;р-н Кировский;улица Закамская, 35;0;15904.456085234022;62889.363336951275;130798;5;2;1;0;54
2;45.0;5;4;3550000.0;евро;совмещенный;балкон;1974;0;0;кирпичный;р-н Свердловский;улица Холмогорская, 6;0;4817.426515733119;74318.1778421745;218220;2;2;1;1;47
1;34.0;10;7;2970000.0;косметический;раздельный;лоджия;1991;1;1;панельный;р-н Мотовилихинский;улица Юрша, 21;0;4678.64642652057;69325.50503743357;193639;4;1;2;2;30
2;51.0;11;9;5100000.0;евро;совмещенный;лоджия;2020;1;0;монолитный;р-н Мотовилихинский;улица Шмидта, 56;1;4557.251152932448;69325.50503743357;193639;4;2;1;2;1
3;68.0;4;2;4990000.0;косметический;совмещенный;нет;1950;0;0;кирпичный;р-н Свердловский;улица Павла Соловьёва, 12;0;2648.014590335968;74318.1778421745;218220;2;1;1;0;71
