number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge;distance;price for metre;district population;green rate;repair rate;bathroom rate;terrace rate;age
3;85.0;9;8;4750000.0;евро;совмещенный;лоджия;1986;1;1;панельный;р-н Мотовилихинский;улица Старцева, 5;0;5213.860697378696;69325.50503743357;193639;4;2;1;2;35
2;56.0;10;3;3350000.0;косметический;раздельный;лоджия;1999;1;1;панельный;р-н Мотовилихинский;улица Свободы, 21А;0;6142.583722671615;69325.50503743357;193639;4;1;2;2;22
1;42.0;16;5;3250000.0;косметический;раздельный;лоджия;1993;1;1;кирпичный;р-н Свердловский;улица Солдатова, 42/2;1;3949.204137825814;74318.1778421745;218220;2;1;2;2;28
1;34.0;9;1;2850000.0;евро;раздельный;нет;1983;1;1;панельный;р-н Индустриальный;улица Милиционера Власова, 17к5;0;6022.867744677678;78168.86137903988;169613;3;2;2;0;38
2;45.0;5;5;2000000.0;требует ремонта;раздельный;балкон;1974;0;0;панельный;р-н Орджоникидзевский;улица Академика Веденеева, 53;0;14339.65264288836;53809.059009550336;115722;4;0;2;1;47
2;46.0;25;14;4440000.0;косметический;совмещенный;лоджия;2019;1;0;монолитный;р-н Свердловский;улица Чернышевского, 39;1;2986.099008313001;74318.1778421745;218220;2;1;1;2;2
2;50.0;19;12;3290000.0;косметический;совмещенный;балкон;2016;1;1;панельный;р-н Орджоникидзевский;улица Маршала Толбухина, 23;1;11082.676980171082;53809.059009550336;115722;4;1;1;1;5
1;44.0;25;6;5070000.0;дизайнерский;совмещенный;балкон;2017;3;0;монолитный;р-н Свердловский;улица Революции, 24;1;3206.672942263179;74318.1778421745;218220;2;3;1;1;4
2;45.0;17;7;4080000.0;косметический;совмещенный;лоджия;2021;1;0;монолитный;р-н Дзержинский;улица Овчинникова, 15А;1;1775.5333178537358;76055.00621772064;166466;5;1;1;2;0
2;44.0;9;7;3800000.0;косметический;совмещенный;лоджия;1983;1;1;панельный;р-н Дзержинский;улица Куфонина, 13;0;5376.924292675276;76055.00621772064;166466;5;1;1;2;38
2;77.0;10;6;4300000.0;косметический;раздельный;лоджия;2006;1;1;монолитный;р-н Кировский;улица Кировоградская, 6;0;16611.407406492475;62889.363336951275;130798;5;1;2;2;15
2;41.0;5;1;2300000.0;косметический;совмещенный;балкон;1968;0;0;кирпичный;р-н Дзержинский;улица Сочинская, 6;0;6628.464586007895;76055.00621772064;166466;5;1;1;1;53
1;20.0;9;9;1600000.0;косметический;совмещенный;балкон;1979;1;1;кирпичный;р-н Свердловский;улица Солдатова, 35;0;4244.898045953096;74318.1778421745;218220;2;1;1;1;42
1;29.0;17;8;3500000.0;дизайнерский;совмещенный;нет;2014;1;0;монолитный;р-н Ленинский;улица Екатерининская, 122;1;491.786931591524;85854.45308674303;54741;4;3;1;0;7
3;48.0;5;2;3800000.0;евро;совмещенный;балкон;1966;0;0;панельный;р-н Дзержинский;улица Голева, 3;0;1282.4406384646916;76055.00621772064;166466;5;2;1;1;55
2;56.0;19;8;4990000.0;косметический;раздельный;лоджия;2013;1;0;монолитный;р-н Свердловский;улица Чернышевского, 15Г;1;3178.430355088483;74318.1778421745;218220;2;1;2;2;8
1;35.0;9;1;3250000.0;косметический;раздельный;лоджия;1980;1;1;кирпичный;р-н Индустриальный;улица Стахановская, 6;0;2580.091351577037;78168.86137903988;169613;3;1;2;2;41
3;56.0;5;2;3390000.0;косметический;совмещенный;балкон;1965;0;0;кирпичный;р-н Индустриальный;улица Мира, 16;0;21650.14043122397;78168.86137903988;169613;3;1;1;1;56
1;31.0;5;5;2400000.0;евро;совмещенный;нет;1962;0;0;кирпичный;р-н Свердловский;улица Бородинская, 26;0;4916.8724338691045;74318.1778421745;218220;2;2;1;0;59
3;57.0;5;1;2100000.0;косметический;совмещенный;нет;1963;0;0;блочный;р-н Орджоникидзевский;улица Репина, 2А;0;12923.494256554652;53809.059009550336;115722;4;1;1;0;58
2;43.0;9;7;3500000.0;косметический;раздельный;лоджия;1968;1;1;кирпичный;р-н Мотовилихинский;улица Крупской, 79;0;4384.241348128732;69325.50503743357;193639;4;1;2;2;53
2;55.0;17;5;2890000.0;косметический;совмещенный;балкон;2013;1;1;панельный;р-н Орджоникидзевский;улица Уссурийская, 25;0;13911.40901180486;53809.059009550336;115722;4;1;1;1;8
3;67.0;10;9;3650000.0;евро;раздельный;балкон;1991;1;1;панельный;р-н Свердловский;улица Полазненская, 26;0;4671.933082045734;74318.1778421745;218220;2;2;2;1;30
1;32.0;5;4;1800000.0;косметический;раздельный;балкон;1967;0;0;кирпичный;р-н Орджоникидзевский;улица Писарева, 30;0;12210.144852953545;53809.059009550336;115722;4;1;2;1;54
1;35.0;10;8;3000000.0;косметический;раздельный;лоджия;1972;1;1;панельный;р-н Дзержинский;улица Куфонина, 28/1;0;5681.021859730481;76055.00621772064;166466;5;1;2;2;49
3;60.0;9;1;3400000.0;дизайнерский;совмещенный;лоджия;1984;1;1;панельный;р-н Мотовилихинский;улица Сигаева, 6;0;9222.378820172104;69325.50503743357;193639;4;3;1;2;37
3;60.0;9;7;3800000.0;требует ремонта;раздельный;балкон;1978;1;1;панельный;р-н Дзержинский;улица Подлесная, 23/1;0;4588.36578435731;76055.00621772064;166466;5;0;2;1;43
2;44.0;5;1;3080000.0;косметический;совмещенный;нет;1967;0;0;кирпичный;р-н Свердловский;улица Малая, ул.,;0;6436.326156202696;74318.1778421745;218220;2;1;1;0;54
1;34.0;10;4;3080000.0;косметический;раздельный;лоджия;1999;1;1;панельный;р-н Дзержинский;улица Куфонина, 22;0;5579.034607030109;76055.00621772064;166466;5;1;2;2;22
1;31.0;9;7;3050000.0;евро;совмещенный;лоджия;1987;1;1;кирпичный;р-н Дзержинский;улица Василия Каменского, 2А;0;3677.891451156572;76055.00621772064;166466;5;2;1;2;34
1;31.0;9;7;3050000.0;евро;совмещенный;лоджия;1987;1;1;кирпичный;р-н Дзержинский;улица Василия Каменского, 2А;0;3677.891451156572;76055.00621772064;166466;5;2;1;2;34
3;60.0;9;7;3599000.0;косметический;раздельный;лоджия;1971;1;1;кирпичный;р-н Индустриальный;улица Космонавта Беляева, 47;0;5797.766071243866;78168.86137903988;169613;3;1;2;2;50
3;61.0;5;1;3200000.0;косметический;раздельный;балкон;1972;0;0;панельный;р-н Индустриальный;улица Архитектора Свиязева, 50/2;0;6204.772641963392;78168.86137903988;169613;3;1;2;1;49
1;30.0;3;1;1920000.0;косметический;совмещенный;нет;1961;0;0;кирпичный;р-н Мотовилихинский;улица Лядовская, 119;0;8268.882822516085;69325.50503743357;193639;4;1;1;0;60
2;48.0;25;9;5000000.0;дизайнерский;совмещенный;балкон;2017;3;0;монолитный;р-н Свердловский;улица Революции, 48А;1;1516.9765669668882;74318.1778421745;218220;2;3;1;1;4
3;67.0;9;3;4700000.0;косметический;раздельный;балкон;1988;1;0;панельный;р-н Мотовилихинский;улица Уинская, 18;0;4893.885853700741;69325.50503743357;193639;4;1;2;1;33
2;57.0;16;14;5500000.0;косметический;раздельный;лоджия;2015;1;1;монолитный;р-н Мотовилихинский;улица Крупской, 67;0;4097.07233959667;69325.50503743357;193639;4;1;2;2;6
1;41.0;23;8;3800000.0;косметический;совмещенный;балкон;2021;2;0;монолитный;р-н Индустриальный;улица Комбайнёров, 43;1;4511.62326184848;78168.86137903988;169613;3;1;1;1;0
3;52.0;9;3;3400000.0;требует ремонта;раздельный;лоджия;1973;1;1;кирпичный;р-н Дзержинский;улица Челюскинцев, 19;0;2446.0867895307656;76055.00621772064;166466;5;0;2;2;48
3;74.0;4;3;5175000.0;евро;совмещенный;балкон;1959;0;0;кирпичный;р-н Индустриальный;улица Мира, 55;0;4696.122523398684;78168.86137903988;169613;3;2;1;1;62
3;58.0;5;1;3335000.0;косметический;совмещенный;нет;1964;0;0;панельный;р-н Индустриальный;улица Братьев Игнатовых, 17;0;4073.0271369353377;78168.86137903988;169613;3;1;1;0;57
1;44.0;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Свердловский;улица Героев Хасана, 11Б;1;2922.724156911036;74318.1778421745;218220;2;1;1;2;2
2;54.0;7;2;4950000.0;косметический;раздельный;лоджия;2000;1;1;кирпичный;р-н Ленинский;улица Советская, 39;0;22490.55196426932;85854.45308674303;54741;4;1;2;2;21
1;29.0;5;1;2500000.0;евро;совмещенный;нет;1963;0;0;кирпичный;р-н Мотовилихинский;улица Дружбы, 13;0;3879.3060556986175;69325.50503743357;193639;4;2;1;0;58
2;56.0;9;8;3600000.0;требует ремонта;раздельный;лоджия;1991;1;1;панельный;р-н Мотовилихинский;улица Уинская, 8;0;4779.871510663284;69325.50503743357;193639;4;0;2;2;30
1;36.0;19;3;2950000.0;косметический;совмещенный;лоджия;2013;1;0;блочный;р-н Свердловский;улица Самаркандская, 147;1;4871.989313291188;74318.1778421745;218220;2;1;1;2;8
3;60.0;25;21;5199000.0;косметический;совмещенный;лоджия;2020;1;0;монолитный;р-н Свердловский;улица Василия Татищева, 6;1;3091.647054785356;74318.1778421745;218220;2;1;1;2;1
2;47.0;5;4;3070000.0;косметический;раздельный;балкон;1969;0;0;кирпичный;р-н Дзержинский;улица Монастырская, 117;0;934.4137869669628;76055.00621772064;166466;5;1;2;1;52
3;58.0;9;5;3770000.0;косметический;раздельный;балкон;1977;1;1;панельный;р-н Дзержинский;улица Комиссара Пожарского, 12;0;4402.971719049354;76055.00621772064;166466;5;1;2;1;44
2;42.0;5;1;2370000.0;косметический;совмещенный;нет;1962;0;0;панельный;р-н Дзержинский;улица Хабаровская, 163;0;8971.016572384602;76055.00621772064;166466;5;1;1;0;59
2;43.0;5;3;2900000.0;косметический;совмещенный;балкон;1959;0;0;кирпичный;р-н Индустриальный;улица Одоевского, 28;0;4635.762889495262;78168.86137903988;169613;3;1;1;1;62
2;55.0;10;3;3500000.0;евро;раздельный;лоджия;2002;1;1;панельный;р-н Орджоникидзевский;улица Янаульская, 30;0;10802.022145534673;53809.059009550336;115722;4;2;2;2;19
1;35.0;14;11;3500000.0;евро;раздельный;лоджия;1985;4;1;кирпичный;р-н Дзержинский;улица Плеханова, 63А;1;1663.0681098936077;76055.00621772064;166466;5;2;2;2;36
3;81.0;7;1;5600000.0;евро;раздельный;лоджия;2006;1;1;панельный;р-н Дзержинский;улица Транспортная, 13;0;5868.615691996226;76055.00621772064;166466;5;2;2;2;15
3;57.0;9;8;3500000.0;требует ремонта;раздельный;балкон;1978;1;1;панельный;р-н Индустриальный;улица Чердынская, 18;0;5145.142717057842;78168.86137903988;169613;3;0;2;1;43
3;42.0;5;5;3100000.0;евро;совмещенный;балкон;1966;0;0;кирпичный;р-н Мотовилихинский;улица Ушинского, 9;0;4034.888757179594;69325.50503743357;193639;4;2;1;1;55
1;38.0;10;4;2900000.0;косметический;раздельный;лоджия;2014;1;1;панельный;р-н Дзержинский;улица Маяковского, 41А;0;6600.043984073516;76055.00621772064;166466;5;1;2;2;7
2;43.0;9;3;2950000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Свердловский;улица Лодыгина, 46к2;0;4882.708093086754;74318.1778421745;218220;2;1;2;2;43
1;34.0;10;6;3150000.0;косметический;раздельный;лоджия;1991;1;1;панельный;р-н Мотовилихинский;улица Юрша, 21;0;4678.64642652057;69325.50503743357;193639;4;1;2;2;30
1;37.0;25;21;3730000.0;косметический;совмещенный;балкон;2017;2;0;монолитный;р-н Индустриальный;улица Милиционера Власова, 4А;1;6216.360026251474;78168.86137903988;169613;3;1;1;1;4
1;44.0;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Свердловский;улица Героев Хасана, 11Б;1;2922.724156911036;74318.1778421745;218220;2;1;1;2;2
1;44.0;20;13;4400000.0;косметический;совмещенный;лоджия;2018;2;0;блочный;р-н Свердловский;улица Пушкина, 6;1;2263.211962079824;74318.1778421745;218220;2;1;1;2;3
1;26.0;15;6;2150000.0;евро;совмещенный;нет;2015;2;0;кирпичный;р-н Свердловский;улица Куйбышева, 109А;1;2998.357613862765;74318.1778421745;218220;2;2;1;0;6
1;31.0;5;4;2630000.0;дизайнерский;совмещенный;балкон;1964;0;0;панельный;р-н Индустриальный;улица Мира, 66А;0;3795.416045046354;78168.86137903988;169613;3;3;1;1;57
1;32.0;2;1;1777777.0;дизайнерский;совмещенный;нет;1968;0;0;кирпичный;р-н Свердловский;улица Анвара Гатауллина, 15;0;5394.93240493503;74318.1778421745;218220;2;3;1;0;53
2;44.0;5;5;2950000.0;косметический;совмещенный;балкон;1950;0;0;кирпичный;р-н Мотовилихинский;улица Ушинского, 7;0;4096.88150014108;69325.50503743357;193639;4;1;1;1;71
1;32.0;10;3;3200000.0;косметический;совмещенный;лоджия;2008;0;1;монолитный;р-н Мотовилихинский;улица Пономарёва, 79;0;4892.240223109743;69325.50503743357;193639;4;1;1;2;13
2;42.0;5;1;2590000.0;косметический;совмещенный;нет;1964;0;0;кирпичный;р-н Мотовилихинский;улица Техническая, 5/2;0;3940.4411588487264;69325.50503743357;193639;4;1;1;0;57
1;37.0;17;3;3400000.0;косметический;совмещенный;лоджия;2021;1;0;монолитный;р-н Индустриальный;улица Космонавта Беляева, 61В;1;6460.673319485657;78168.86137903988;169613;3;1;1;2;0
1;31.0;25;8;2650000.0;евро;совмещенный;лоджия;2021;0;0;монолитный;р-н Кировский;улица Оханская, 29;1;12178.383215112446;62889.363336951275;130798;5;2;1;2;0
1;30.0;5;5;2430000.0;косметический;совмещенный;нет;1963;0;0;кирпичный;р-н Мотовилихинский;улица Крупской, 51А;0;3550.0815091446434;69325.50503743357;193639;4;1;1;0;58
1;39.0;5;3;2500000.0;косметический;раздельный;балкон;1959;0;0;кирпичный;р-н Мотовилихинский;улица Лебедева, 37;0;3628.124387043274;69325.50503743357;193639;4;1;2;1;62
2;43.0;3;1;2300000.0;косметический;совмещенный;нет;1959;0;0;кирпичный;р-н Индустриальный;улица Космонавта Леонова, 24А;0;5306.262762088866;78168.86137903988;169613;3;1;1;0;62
1;35.0;10;2;2200000.0;косметический;совмещенный;лоджия;2014;1;1;панельный;р-н Орджоникидзевский;улица Менжинского, 36;0;15355.39718795248;53809.059009550336;115722;4;1;1;2;7
2;44.0;9;3;2650000.0;косметический;раздельный;лоджия;1975;1;1;панельный;р-н Орджоникидзевский;улица Маршала Толбухина, 12;0;11339.005116801864;53809.059009550336;115722;4;1;2;2;46
2;44.0;5;4;3420000.0;косметический;раздельный;балкон;1966;0;0;панельный;р-н Дзержинский;улица Голева, 5;0;1317.838957309927;76055.00621772064;166466;5;1;2;1;55
2;34.0;10;1;2550000.0;евро;раздельный;нет;2000;1;1;панельный;р-н Мотовилихинский;улица Сигаева, 12;0;8889.442621556414;69325.50503743357;193639;4;2;2;0;21
1;14.0;5;5;890000.0;требует ремонта;совмещенный;нет;1989;0;0;панельный;р-н Мотовилихинский;улица Ивана Франко, 40/1;0;9707.606214914227;69325.50503743357;193639;4;0;1;0;32
2;57.0;16;3;3300000.0;косметический;раздельный;лоджия;2009;1;0;монолитный;р-н Орджоникидзевский;улица Александра Щербакова, 43А;1;16230.856625444982;53809.059009550336;115722;4;1;2;2;12
1;31.0;5;5;2055000.0;косметический;совмещенный;нет;1971;0;0;кирпичный;р-н Мотовилихинский;улица Николая Быстрых, 11;0;4609.907575811876;69325.50503743357;193639;4;1;1;0;50
1;35.0;5;2;2650000.0;косметический;совмещенный;балкон;1989;0;0;панельный;р-н Свердловский;улица Чернышевского, 21А;0;2979.7138251629663;74318.1778421745;218220;2;1;1;1;32
1;30.0;5;4;2350000.0;косметический;раздельный;балкон;1970;0;0;панельный;р-н Свердловский;улица Солдатова, 3;0;5145.794691386911;74318.1778421745;218220;2;1;2;1;51
3;55.0;5;4;4100000.0;евро;совмещенный;балкон;1964;0;0;кирпичный;р-н Индустриальный;шоссе Космонавтов, 121;0;2908.6399635740686;78168.86137903988;169613;3;2;1;1;57
3;58.0;5;1;4390000.0;евро;совмещенный;нет;1975;0;0;кирпичный;р-н Свердловский;улица Народовольческая, 32;0;2866.976927770768;74318.1778421745;218220;2;2;1;0;46
2;42.0;5;4;3750000.0;косметический;раздельный;балкон;1966;0;0;панельный;р-н Дзержинский;улица Голева, 3;0;1282.4406384646916;76055.00621772064;166466;5;1;2;1;55
1;45.0;16;5;3899000.0;косметический;совмещенный;балкон;2013;1;1;монолитный;р-н Свердловский;улица Краснофлотская, 11;0;1281.3013647398493;74318.1778421745;218220;2;1;1;1;8
2;55.0;3;1;2349999.0;косметический;раздельный;нет;1958;0;0;кирпичный;р-н Мотовилихинский;улица Инженерная, 18;0;4542.108674029743;69325.50503743357;193639;4;1;2;0;63
1;25.0;5;1;1600000.0;косметический;совмещенный;нет;1986;0;0;панельный;р-н Кировский;улица Волгодонская, 9;0;12749.221782285667;62889.363336951275;130798;5;1;1;0;35
1;42.0;8;5;4850000.0;дизайнерский;совмещенный;лоджия;1995;1;0;кирпичный;р-н Ленинский;улица Газеты Звезда, 8;1;1190.2690231844774;85854.45308674303;54741;4;3;1;2;26
1;30.0;5;1;2400000.0;косметический;совмещенный;нет;1960;0;0;кирпичный;р-н Индустриальный;улица Семченко, 23;0;3806.289353048836;78168.86137903988;169613;3;1;1;0;61
2;54.0;10;3;4290000.0;дизайнерский;раздельный;лоджия;1992;1;1;кирпичный;р-н Дзержинский;Парковый проспект, 35;0;3617.4587691337215;76055.00621772064;166466;5;3;2;2;29
3;62.0;5;2;3000000.0;требует ремонта;раздельный;балкон;1979;0;0;кирпичный;р-н Индустриальный;улица Экскаваторная, 58;0;7078.84579492592;78168.86137903988;169613;3;0;2;1;42
1;36.0;16;4;2700000.0;евро;совмещенный;лоджия;2016;1;1;монолитный;р-н Кировский;улица Калинина, 46;0;23272.97199566279;62889.363336951275;130798;5;2;1;2;5
1;36.0;9;4;3550000.0;косметический;раздельный;лоджия;1987;1;1;панельный;р-н Свердловский;улица Народовольческая, 39;0;3032.4497912337747;74318.1778421745;218220;2;1;2;2;34
3;67.0;9;1;3550000.0;косметический;раздельный;нет;1985;1;1;панельный;р-н Индустриальный;проспект Декабристов, 29;0;4039.5411598536175;78168.86137903988;169613;3;1;2;0;36
4;61.0;5;5;3300000.0;евро;совмещенный;балкон;1972;0;0;кирпичный;р-н Дзержинский;улица Сочинская, 8;0;6674.761942418286;76055.00621772064;166466;5;2;1;1;49
2;62.0;25;24;5400000.0;дизайнерский;раздельный;лоджия;2009;2;0;монолитный;р-н Индустриальный;шоссе Космонавтов, 213;1;6022.129999371758;78168.86137903988;169613;3;3;2;2;12
2;43.0;9;8;3100000.0;требует ремонта;раздельный;лоджия;1984;1;1;панельный;р-н Мотовилихинский;улица Хрустальная, 8;0;4951.10205184041;69325.50503743357;193639;4;0;2;2;37
1;44.0;17;2;3650000.0;косметический;совмещенный;лоджия;2016;1;0;кирпичный;р-н Индустриальный;улица Капитана Гастелло, 10;1;2239.308999630516;78168.86137903988;169613;3;1;1;2;5
1;44.0;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Свердловский;улица Героев Хасана, 11Б;1;2922.724156911036;74318.1778421745;218220;2;1;1;2;2
2;44.0;26;6;4430000.0;косметический;совмещенный;лоджия;2020;1;0;монолитный;р-н Свердловский;улица Чернышевского, 39;1;2986.099008313001;74318.1778421745;218220;2;1;1;2;1
3;64.0;10;1;5249995.0;евро;раздельный;нет;1993;1;1;панельный;р-н Индустриальный;улица Мира, 115;0;6306.644045346485;78168.86137903988;169613;3;2;2;0;28
2;43.0;3;2;2250000.0;требует ремонта;совмещенный;балкон;1962;0;0;кирпичный;р-н Дзержинский;улица Маяковского, 46А;0;6792.482129533168;76055.00621772064;166466;5;0;1;1;59
2;57.0;17;10;4450000.0;косметический;раздельный;лоджия;2011;1;0;кирпичный;р-н Свердловский;улица Холмогорская, 2Е;1;4410.902690378007;74318.1778421745;218220;2;1;2;2;10
2;44.0;9;2;4000000.0;дизайнерский;совмещенный;лоджия;1975;1;1;панельный;р-н Дзержинский;улица Монастырская, 123;0;1162.1937629195504;76055.00621772064;166466;5;3;1;2;46
3;70.0;19;10;5500000.0;косметический;раздельный;балкон;2021;1;0;монолитный;р-н Индустриальный;улица Космонавта Беляева, 61В;1;6460.673319485657;78168.86137903988;169613;3;1;2;1;0
2;50.0;8;1;4900000.0;требует ремонта;раздельный;лоджия;1994;1;0;кирпичный;р-н Ленинский;улица Екатерининская, 166А;0;323.6167662557067;85854.45308674303;54741;4;0;2;2;27
1;38.0;10;3;2950000.0;косметический;раздельный;лоджия;2005;1;1;панельный;р-н Дзержинский;улица Костычева, 13;0;6885.404926993601;76055.00621772064;166466;5;1;2;2;16
1;37.0;9;4;2850000.0;косметический;совмещенный;лоджия;1987;1;1;кирпичный;р-н Дзержинский;улица Василия Каменского, 2А;0;3677.891451156572;76055.00621772064;166466;5;1;1;2;34
4;85.0;16;14;5270000.0;косметический;раздельный;лоджия;1992;1;0;панельный;р-н Кировский;улица Маршала Рыбалко, 117/2;1;14343.27084604388;62889.363336951275;130798;5;1;2;2;29
3;58.0;5;5;3950000.0;требует ремонта;раздельный;балкон;1979;0;0;кирпичный;р-н Ленинский;улица Луначарского, 23;0;1780.254521944828;85854.45308674303;54741;4;0;2;1;42
3;56.0;14;7;4500000.0;требует ремонта;раздельный;лоджия;1982;1;1;кирпичный;р-н Индустриальный;улица Стахановская, 29;1;2661.15187533336;78168.86137903988;169613;3;0;2;2;39
1;45.0;17;13;3300000.0;евро;совмещенный;балкон;2008;1;0;кирпичный;р-н Кировский;улица Светлогорская, 17;1;11905.623082225602;62889.363336951275;130798;5;2;1;1;13
2;44.0;5;4;3600000.0;косметический;совмещенный;балкон;1962;0;0;кирпичный;р-н Индустриальный;улица Комбайнёров, 36;0;4500.014820208134;78168.86137903988;169613;3;1;1;1;59
1;29.0;4;2;2600000.0;косметический;совмещенный;нет;1946;0;0;кирпичный;р-н Ленинский;улица Ленина, 15;0;1732.6416718978935;85854.45308674303;54741;4;1;1;0;75
1;22.0;9;4;1900000.0;косметический;совмещенный;балкон;1983;1;1;кирпичный;р-н Свердловский;улица Клары Цеткин, 27;0;2237.078661065221;74318.1778421745;218220;2;1;1;1;38
1;30.0;5;5;1750000.0;косметический;раздельный;балкон;1970;0;0;кирпичный;р-н Кировский;улица Маршала Рыбалко, 109;0;14591.067621783155;62889.363336951275;130798;5;1;2;1;51
2;46.0;5;3;3500000.0;дизайнерский;совмещенный;балкон;1961;0;0;кирпичный;р-н Индустриальный;улица Мира, 49;0;4524.66342804908;78168.86137903988;169613;3;3;1;1;60
2;46.0;5;5;3150000.0;евро;совмещенный;балкон;1965;0;0;панельный;р-н Мотовилихинский;улица Старцева, 45;0;4793.187818650542;69325.50503743357;193639;4;2;1;1;56
1;32.0;5;5;2600000.0;косметический;совмещенный;лоджия;1969;0;0;кирпичный;р-н Дзержинский;улица Академика Вавилова, 17;0;2365.389653055205;76055.00621772064;166466;5;1;1;2;52
1;18.0;5;1;1080000.0;косметический;совмещенный;нет;1976;0;1;кирпичный;р-н Свердловский;улица Куйбышева, 143;0;4853.270923100483;74318.1778421745;218220;2;1;1;0;45
2;53.0;10;10;3150000.0;косметический;раздельный;балкон;2011;1;1;панельный;р-н Орджоникидзевский;улица Генерала Черняховского, 57;0;13908.766543611704;53809.059009550336;115722;4;1;2;1;10
3;60.0;10;5;3900000.0;косметический;раздельный;балкон;1990;1;0;кирпичный;р-н Ленинский;улица Пушкина, 116Б;0;1023.9168049306764;85854.45308674303;54741;4;1;2;1;31
1;30.0;5;1;2200000.0;косметический;раздельный;нет;1971;0;0;панельный;р-н Индустриальный;проспект Декабристов, 16;0;3478.779893704699;78168.86137903988;169613;3;1;2;0;50
1;32.0;18;3;3500000.0;косметический;совмещенный;лоджия;2018;2;0;панельный;р-н Свердловский;улица Чернышевского, 17А;1;3077.5236414466835;74318.1778421745;218220;2;1;1;2;3
1;34.0;10;2;2200000.0;косметический;раздельный;балкон;1990;1;1;панельный;р-н Кировский;улица Липатова, 20;0;15606.020540242138;62889.363336951275;130798;5;1;2;1;31
2;43.0;9;4;3650000.0;косметический;раздельный;балкон;1981;1;1;панельный;р-н Дзержинский;Парковый проспект, 41А;0;3308.1226584638525;76055.00621772064;166466;5;1;2;1;40
2;43.0;5;2;3100000.0;косметический;совмещенный;балкон;1965;0;0;панельный;р-н Мотовилихинский;улица Крупской, 82;0;4452.066337679751;69325.50503743357;193639;4;1;1;1;56
1;30.0;4;4;1750000.0;косметический;совмещенный;нет;1962;0;0;кирпичный;р-н Дзержинский;улица Транспортная, 27;0;6302.40277561934;76055.00621772064;166466;5;1;1;0;59
1;42.0;10;2;2900000.0;косметический;раздельный;лоджия;1999;1;1;панельный;р-н Мотовилихинский;улица Пушкарская, 92;0;4459.204871017926;69325.50503743357;193639;4;1;2;2;22
4;80.0;9;3;5350000.0;евро;раздельный;балкон;1988;1;1;панельный;р-н Мотовилихинский;улица Юрша, 9;0;4892.84576673894;69325.50503743357;193639;4;2;2;1;33
3;71.0;10;7;4350000.0;косметический;раздельный;лоджия;2015;1;0;панельный;р-н Кировский;улица Адмирала Ушакова, 21;1;11928.096592331243;62889.363336951275;130798;5;1;2;2;6
1;42.0;16;10;1860000.0;косметический;раздельный;лоджия;2011;1;0;кирпичный;р-н Орджоникидзевский;улица Александра Щербакова, 43А;1;16230.856625444982;53809.059009550336;115722;4;1;2;2;10
3;67.0;12;10;4900000.0;евро;раздельный;лоджия;1981;2;1;панельный;р-н Дзержинский;улица Василия Каменского, 6;0;3409.536474421723;76055.00621772064;166466;5;2;2;2;40
1;28.0;16;3;2050000.0;евро;совмещенный;нет;2020;2;0;кирпичный;р-н Свердловский;улица Куйбышева, 109А;1;2998.357613862765;74318.1778421745;218220;2;2;1;0;1
2;44.0;5;4;2800000.0;косметический;раздельный;балкон;1972;0;0;панельный;р-н Свердловский;улица Братская, 18;0;5289.800072976492;74318.1778421745;218220;2;1;2;1;49
1;38.0;25;18;2770000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Кировский;улица Калинина, 66;1;12253.433399530264;62889.363336951275;130798;5;1;1;2;2
1;42.0;17;3;4850000.0;косметический;совмещенный;балкон;2005;1;1;кирпичный;р-н Индустриальный;улица Мира, 11;1;21499.10620072477;78168.86137903988;169613;3;1;1;1;16
3;69.0;10;6;5400000.0;косметический;раздельный;лоджия;1988;1;1;панельный;р-н Дзержинский;улица Овчинникова, 18;0;1660.241524293797;76055.00621772064;166466;5;1;2;2;33
1;42.0;9;7;2450000.0;косметический;совмещенный;нет;1981;1;1;кирпичный;р-н Свердловский;улица Клары Цеткин, 23;0;2406.460734942932;74318.1778421745;218220;2;1;1;0;40
1;36.0;10;8;2950000.0;косметический;раздельный;лоджия;1988;1;1;панельный;р-н Индустриальный;проспект Декабристов, 33;0;4324.106470103412;78168.86137903988;169613;3;1;2;2;33
2;43.0;9;2;3100000.0;косметический;совмещенный;лоджия;1989;1;1;кирпичный;р-н Свердловский;улица Козьмы Минина, 5;0;5501.930943778153;74318.1778421745;218220;2;1;1;2;32
1;26.0;5;2;1560000.0;требует ремонта;совмещенный;балкон;1974;0;0;панельный;р-н Кировский;улица Генерала Панфилова, 13А;0;22971.01966112631;62889.363336951275;130798;5;0;1;1;47
1;32.0;5;3;1600000.0;косметический;раздельный;балкон;1976;0;0;панельный;р-н Орджоникидзевский;улица Кронита, 15;0;14315.173586660489;53809.059009550336;115722;4;1;2;1;45
1;32.0;5;1;3500000.0;косметический;совмещенный;нет;1959;0;0;кирпичный;р-н Свердловский;улица Героев Хасана, 15;0;3022.561112695899;74318.1778421745;218220;2;1;1;0;62
