;number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;street;concierge;garbage chute
42;2;62.0;25;22;4500000.0;косметический;раздельный;лоджия;2016;2.0;монолитный;открытая во дворе;р-н Мотовилихинский;улица Грибоедова, 72;1;1
43;2;84.0;16;8;5300000.0;дизайнерский;совмещенный;лоджия;2009;1.0;монолитный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица Гусарова, 20;1;0
44;1;41.0;17;6;3000000.0;косметический;совмещенный;лоджия;2016;1.0;монолитный;за шлагбаумом во дворе;р-н Орджоникидзевский;улица Карбышева, 41;1;1
45;1;45.0;24;4;5200000.0;евро;совмещенный;лоджия;2019;1.0;монолитный;подземная, за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Локомотивная, 1А;1;0
46;2;41.1;10;10;3750000.0;евро;раздельный;лоджия;2015;2.0;панельный;открытая во дворе;р-н Дзержинский;улица Челюскинцев, 2Б;0;0
47;2;74.1;25;10;7250000.0;дизайнерский;совмещенный;лоджия;2007;2.0;монолитный;подземная, за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Вильвенская, 6;1;1
48;1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Красногвардейская, 2;0;0
49;3;85.0;22;22;10850000.0;дизайнерский;несколько;балкон;1921;1.0;кирпичный;подземная, наземная многоуровневая, открытая во дворе;р-н Ленинский;улица Луначарского, 99;1;1
50;1;21.0;25;23;2550000.0;косметический;совмещенный;лоджия;2018;1.0;монолитный;открытая во дворе;р-н Индустриальный;улица Советской Армии, 60;1;0
51;;;;;;;;;;;;;;;;
52;2;44.4;5;5;2790000.0;косметический;раздельный;балкон;1970;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Архитектора Свиязева, 34;0;0
53;;;;;;;;;;;;;;;;
54;1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Красногвардейская, 2;0;0
55;;;;;;;;;;;;;;;;
56;2;46.3;25;22;3990000.0;косметический;совмещенный;лоджия;2018;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Красные Казармы, 68;0;0
57;3;42.7;5;3;3100000.0;косметический;совмещенный;балкон;1966;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Советской Армии, 25;0;0
58;;;;;;;;;;;;;;;;
59;3;66.8;10;9;4000000.0;косметический;раздельный;балкон;1990;2.0;панельный;открытая во дворе;р-н Кировский;улица Сокольская, 10;0;1
60;;;;;;;;;;;;;;;;
61;3;77.9;17;14;4800000.0;дизайнерский;совмещенный;лоджия;2009;1.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Орджоникидзевский;улица Карбышева, 6;1;0
62;2;38.9;5;4;1650000.0;косметический;раздельный;нет;1990;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Краснослудская, 17;0;0
63;2;45.0;5;3;3100000.0;дизайнерский;совмещенный;балкон;1962;0.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Ленина, 78;0;0
64;3;53.0;9;2;3700000.0;дизайнерский;совмещенный;лоджия;1974;1.0;панельный;открытая во дворе;р-н Индустриальный;улица Чердынская, 22;0;1
65;4;85.1;9;2;6800000.0;евро;совмещенный;лоджия;1984;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Весёлая, 1;0;1
66;1;45.0;17;5;3280000.0;косметический;совмещенный;балкон;2009;1.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Новосибирская, 13;1;0
67;2;44.4;5;1;2650000.0;требует ремонта;раздельный;нет;1970;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Геологов, 1;0;0
68;;;;;;;;;;;;;;;;
69;1;31.3;10;4;2100000.0;косметический;раздельный;балкон;2018;2.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Ракитная, 42;0;0
70;2;43.7;4;4;1850000.0;косметический;совмещенный;балкон;1962;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Карбышева, 32;0;0
71;2;42.0;5;5;3050000.0;косметический;совмещенный;нет;1959;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Баумана, 8;0;0
72;;;;;;;;;;;;;;;;
73;3;60.4;9;9;2800000.0;косметический;раздельный;лоджия;1983;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Карбышева, 82/1;0;1
74;1;36.7;6;5;2600000.0;косметический;совмещенный;балкон;2015;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Лядовская, 125;0;0
75;2;42.2;5;4;1600000.0;косметический;совмещенный;балкон;1967;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Гремячий Лог, 1;0;0
76;;;;;;;;;;;;;;;;
77;2;59.6;4;3;2980000.0;требует ремонта;раздельный;балкон;1954;0.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Куйбышева, 157;0;0
78;1;40.8;3;1;1699000.0;косметический;совмещенный;нет;2017;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Парусная улица, 5;0;0
79;4;81.2;10;4;5670000.0;косметический;раздельный;балкон;2005;1.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;улица Карпинского, 120;0;0
80;2;56.3;19;8;4990000.0;косметический;раздельный;балкон;2013;2.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Чернышевского, 15Г;1;0
81;2;57.7;19;16;5550000.0;евро;совмещенный;балкон;2014;2.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Рабочая, 9А;0;0
82;2;49.3;17;11;4250000.0;косметический;совмещенный;лоджия;2019;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Кронштадтская, 45;1;1
83;;;;;;;;;;;;;;;;
84;3;83.1;20;12;7599000.0;евро;совмещенный;лоджия;2011;2.0;монолитный;подземная;р-н Мотовилихинский;улица Юрша, 84;1;0
85;3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1.0;панельный;открытая во дворе;р-н Индустриальный;улица Карпинского, 77;0;1
86;;;;;;;;;;;;;;;;
87;2;52.0;5;2;3560000.0;косметический;совмещенный;нет;1953;0.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;Комсомольский проспект, 58;0;0
88;1;29.0;5;5;2100000.0;косметический;совмещенный;нет;1970;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Писарева, 34;0;0
89;4;175.0;7;6;16200000.0;евро;несколько;балкон;2003;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица Краснова, 32;1;1
