;number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;street;concierge;garbage chute
303;;;;;;;;;;;;;;;;
304;3;56.0;5;1;4600000.0;евро;совмещенный;нет;1963;0.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Крисанова, 18А;0;0
305;2;63.5;5;4;3700000.0;косметический;раздельный;балкон;1956;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Крупской, 27;0;0
306;1;30.8;5;4;2600000.0;требует ремонта;совмещенный;нет;1963;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица 1-я, ул.,;0;0
307;3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1.0;панельный;открытая во дворе;р-н Индустриальный;улица Карпинского, 77;0;1
308;2;52.2;9;8;3670000.0;косметический;раздельный;балкон;1976;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Челюскинцев, 19;0;0
309;3;72.5;6;5;13200000.0;дизайнерский;совмещенный;нет;2020;1.0;монолитный;подземная, открытая во дворе;р-н Ленинский;улица Петропавловская, 13А;1;0
310;2;52.8;10;5;3900000.0;косметический;раздельный;лоджия;1999;4.0;панельный;открытая во дворе;р-н Дзержинский;улица Куфонина, 22;0;1
311;1;29.9;5;4;2200000.0;косметический;совмещенный;балкон;1961;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Техническая, 6;0;0
312;2;45.1;14;2;6500000.0;дизайнерский;совмещенный;лоджия;2020;1.0;кирпичный;подземная, за шлагбаумом во дворе, открытая во дворе;р-н Ленинский;улица Окулова, 24;1;0
313;4;133.0;16;12;10800000.0;евро;несколько;балкон;2010;1.0;кирпичный;подземная, за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Мильчакова, 28А;1;0
314;1;22.1;4;4;1700000.0;косметический;совмещенный;нет;1929;0.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Плеханова, 3;0;0
315;1;57.5;10;2;4500000.0;косметический;раздельный;лоджия;2000;2.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Юрша, 100;0;1
316;2;37.5;3;1;1880000.0;требует ремонта;совмещенный;нет;1961;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Карпинского, 84;0;0
317;2;41.4;5;3;2650000.0;косметический;совмещенный;балкон;1964;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица улица Лодыгина, 31;0;0
318;2;46.1;10;9;4450000.0;евро;совмещенный;лоджия;2008;1.0;кирпичный;за шлагбаумом во дворе;р-н Индустриальный;улица Мира, 8Б;0;0
319;3;93.9;25;14;7700000.0;евро;раздельный;лоджия;2011;2.0;монолитный;за шлагбаумом во дворе;р-н Индустриальный;улица Космонавта Беляева, 40Г;1;0
320;1;39.0;5;1;1980000.0;косметический;совмещенный;лоджия;2016;1.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Ольховская, 4;0;0
321;2;46.4;5;1;2900000.0;косметический;раздельный;нет;1966;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Стахановская, 55;0;0
322;3;89.2;10;8;7900000.0;евро;раздельный;лоджия;2018;1.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Николая Островского, 30;0;0
323;;;;;;;;;;;;;;;;
324;3;63.0;9;1;4600000.0;евро;раздельный;лоджия;1987;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Льва Шатрова, 34;0;1
325;2;81.1;16;11;7490000.0;дизайнерский;раздельный;лоджия;2006;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Василия Каменского, 10А;1;0
326;3;50.0;3;3;2100000.0;косметический;совмещенный;балкон;1960;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Можайская, 24;0;0
327;1;33.9;10;10;2590000.0;евро;раздельный;лоджия;1987;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Гашкова, 26;0;1
328;1;39.3;18;11;3980000.0;евро;совмещенный;лоджия;2006;1.0;монолитный;подземная, за шлагбаумом во дворе;р-н Мотовилихинский;улица Лебедева, 34;0;0
329;1;31.1;5;4;2250000.0;косметический;совмещенный;балкон;1973;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Косьвинская, 9;0;0
330;2;47.0;9;9;2530000.0;косметический;раздельный;лоджия;1984;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Маршала Толбухина, 6;0;1
331;3;79.9;16;8;6800000.0;косметический;раздельный;лоджия;2008;1.0;панельный;открытая во дворе;р-н Свердловский;улица Камчатовская, 18;1;0
332;3;82.0;5;2;4000000.0;косметический;раздельный;лоджия;1997;1.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;Комсомольский проспект, 38А;0;0
333;1;30.8;3;3;1800000.0;косметический;совмещенный;балкон;2017;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Домостроительная, 6;0;0
334;2;43.3;5;5;2600000.0;косметический;совмещенный;нет;1962;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Комбайнёров, 26;0;0
335;2;59.0;18;16;6900000.0;дизайнерский;совмещенный;балкон;2013;2.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Белинского, 31;1;0
336;3;68.3;10;8;6950000.0;дизайнерский;раздельный;лоджия;2010;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Пономарёва, 75;1;1
337;2;54.5;16;8;3950000.0;косметический;раздельный;лоджия;2014;1.0;монолитный;открытая во дворе;р-н Орджоникидзевский;улица Янаульская, 18;0;0
338;1;14.6;9;9;1350000.0;косметический;совмещенный;нет;1983;1.0;панельный;открытая во дворе;р-н Свердловский;улица Вижайская, 24;0;1
339;2;59.0;4;4;4700000.0;требует ремонта;раздельный;балкон;1949;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Павла Соловьёва, 9;0;0
340;1;44.9;16;13;4050000.0;евро;совмещенный;лоджия;2008;1.0;монолитный;подземная, наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;р-н Мотовилихинский;улица Красновишерская, 35;1;0
341;3;61.0;9;9;4200000.0;косметический;раздельный;лоджия;1977;1.0;панельный;открытая во дворе;р-н Свердловский;улица Николая Островского, 70;0;1
342;2;52.0;10;7;3900000.0;евро;раздельный;лоджия;2015;1.0;панельный;открытая во дворе;р-н Кировский;улица Калинина, 52;0;0
343;1;32.0;4;3;3490000.0;дизайнерский;совмещенный;балкон;2019;0.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Индустриальный;проспект Декабристов, 50;0;0
344;2;44.0;5;3;2700000.0;косметический;совмещенный;нет;1965;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Мира, 118;0;0
345;1;56.8;16;6;5950000.0;евро;совмещенный;лоджия;2007;1.0;монолитный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Красновишерская, 35;0;0
346;4;83.0;16;11;6700000.0;дизайнерский;совмещенный;лоджия;2006;1.0;панельный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Пушкарская, 100;1;1
347;1;24.0;5;3;1400000.0;требует ремонта;совмещенный;балкон;1971;0.0;панельный;наземная многоуровневая, открытая во дворе;р-н Кировский;улица Охотников, 30;0;0
348;;;;;;;;;;;;;;;;
349;3;73.3;16;10;5600000.0;евро;раздельный;лоджия;1993;1.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;улица Мира, 33;1;1
350;3;55.0;5;3;3100000.0;требует ремонта;совмещенный;балкон;1959;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Баумана, 8;0;0
351;2;43.0;16;12;3980000.0;евро;совмещенный;балкон;2021;1.0;панельный;подземная, за шлагбаумом во дворе;р-н Дзержинский;улица Овчинникова, 15А;0;0
352;2;44.0;5;4;2600000.0;требует ремонта;совмещенный;нет;1975;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Героев Хасана, 21;0;0
353;2;76.9;13;2;7250000.0;евро;совмещенный;лоджия;2010;2.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Мотовилихинский;улица Аркадия Гайдара, 5;0;0
354;2;61.5;11;4;5100000.0;косметический;раздельный;лоджия;2003;1.0;кирпичный;подземная, наземная многоуровневая, за шлагбаумом во дворе;р-н Мотовилихинский;улица Уинская, 9;1;0
355;2;55.3;14;5;3900000.0;косметический;раздельный;лоджия;1981;2.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Плеханова, 63А;1;1
356;1;47.0;17;10;2950000.0;евро;совмещенный;лоджия;2008;1.0;монолитный;подземная, наземная многоуровневая, открытая во дворе;р-н Орджоникидзевский;улица Янаульская, 34;1;1
357;;;;;;;;;;;;;;;;
358;1;33.0;5;3;2150000.0;косметический;совмещенный;балкон;1971;0.0;панельный;открытая во дворе;р-н Кировский;улица Юнг Прикамья, 39;0;0
359;2;37.8;5;5;2200000.0;косметический;совмещенный;балкон;1969;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Маршала Рыбалко, 78;0;0
360;3;105.0;13;3;8500000.0;косметический;совмещенный;лоджия;1999;1.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Екатерининская, 24;1;0
361;4;110.0;17;5;10500000.0;евро;совмещенный;балкон;2012;1.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Мотовилихинский;улица Макаренко, 14А;0;0
362;3;58.1;9;9;4000000.0;требует ремонта;совмещенный;балкон;1977;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Комиссара Пожарского, 12;0;1
363;;;;;;;;;;;;;;;;
364;1;31.0;5;5;1400000.0;косметический;совмещенный;балкон;1978;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Генерала Черняховского, 82;0;0
365;1;29.7;5;1;2790000.0;евро;совмещенный;нет;1962;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Героев Хасана, 17;0;0
366;1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Красногвардейская, 2;0;0
367;;;;;;;;;;;;;;;;
368;1;30.0;5;4;2500000.0;косметический;совмещенный;балкон;1970;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Космонавта Беляева, 51;0;0
369;4;111.9;19;10;9690000.0;евро;несколько;лоджия;2007;1.0;монолитный;за шлагбаумом во дворе;р-н Дзержинский;улица Куфонина, 30;0;0
370;3;78.2;18;11;7000000.0;евро;раздельный;лоджия;2006;1.0;монолитный;подземная, за шлагбаумом во дворе, открытая во дворе;р-н Мотовилихинский;улица Лебедева, 34;0;0
371;2;52.0;5;2;3350000.0;косметический;раздельный;лоджия;1990;0.0;кирпичный;открытая во дворе;р-н Кировский;улица 5-я, ул.,;0;0
372;3;68.1;10;1;4100000.0;косметический;раздельный;лоджия;2000;1.0;панельный;за шлагбаумом во дворе;р-н Дзержинский;улица Докучаева, 44;0;1
373;1;34.0;5;5;1750000.0;требует ремонта;совмещенный;лоджия;2015;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Ольховская, 6;0;0
374;1;38.2;10;8;2850000.0;требует ремонта;раздельный;лоджия;2005;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;р-н Индустриальный;шоссеКосмонавтов, 166;0;0
375;3;72.9;19;8;6900000.0;дизайнерский;совмещенный;лоджия;2014;2.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Рабочая, 9А;1;0
376;3;55.7;5;4;2650000.0;требует ремонта;совмещенный;балкон;1962;0.0;кирпичный;за шлагбаумом во дворе;р-н Кировский;улица Адмирала Ушакова, 10;0;0
377;1;41.3;12;10;3850000.0;евро;совмещенный;лоджия;2021;1.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Мотовилихинский;улица Сапфирная, 12;0;0
378;2;64.8;15;9;5500000.0;косметический;совмещенный;лоджия;2011;2.0;кирпичный;за шлагбаумом во дворе;р-н Индустриальный;улица Качалова, 10;1;1
379;2;56.0;10;9;2790000.0;косметический;раздельный;балкон;2015;2.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Делегатская, 35А;0;1
380;4;61.5;5;4;3310000.0;косметический;раздельный;балкон;1966;0.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Старцева, 35;0;0
381;1;31.8;5;5;3100000.0;евро;совмещенный;балкон;1964;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица 1-я Красноармейская улица, 41;0;0
382;1;29.6;9;5;2500000.0;косметический;совмещенный;балкон;1980;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Клары Цеткин, 21;0;1
383;;;;;;;;;;;;;;;;
384;1;36.3;17;16;2700000.0;косметический;совмещенный;лоджия;2014;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Целинная, 43;0;0
385;4;135.3;16;3;8130000.0;требует ремонта;несколько;лоджия;2005;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;улица Татьяны Барамзиной, 42/2;1;0
386;1;30.9;5;1;2600000.0;косметический;раздельный;нет;1965;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Стахановская, 57А;0;0
387;2;45.3;5;1;2400000.0;косметический;совмещенный;нет;1965;0.0;панельный;открытая во дворе;р-н Дзержинский;улица Вагонная, 11;0;0
388;2;45.0;5;3;2880000.0;евро;раздельный;балкон;1970;0.0;панельный;открытая во дворе;р-н Свердловский;улица Солдатова, 3;0;0
389;1;34.8;9;2;2400000.0;косметический;раздельный;лоджия;1987;1.0;панельный;открытая во дворе;р-н Кировский;улица Кировоградская, 8;0;0
390;1;18.0;5;1;460000.0;косметический;совмещенный;нет;1981;0.0;кирпичный;наземная многоуровневая;р-н Свердловский;улица Лукоянова, 8;0;0
391;3;61.9;9;4;2900000.0;требует ремонта;раздельный;лоджия;1980;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Академика Веденеева, 92;0;1
392;2;60.0;17;5;3300000.0;евро;совмещенный;лоджия;2009;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Делегатская, 45;0;1
393;2;63.0;3;3;3220000.0;евро;совмещенный;балкон;1953;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Куйбышева, 155;0;0
394;;;;;;;;;;;;;;;;
395;4;107.0;17;10;10100000.0;косметический;несколько;лоджия;2012;1.0;монолитный;открытая во дворе;р-н Мотовилихинский;улица Макаренко, 14А;1;0
396;1;31.4;5;4;1650000.0;косметический;совмещенный;балкон;1964;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Гайвинская, 60;0;0
397;;;;;;;;;;;;;;;;
398;1;37.0;16;14;2700000.0;косметический;совмещенный;балкон;2012;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;улица Хабаровская, 66;1;0
399;3;68.0;10;7;4900000.0;евро;совмещенный;лоджия;1985;1.0;панельный;открытая во дворе;р-н Дзержинский;Парковый проспект, 5;0;1
400;3;88.0;15;3;5999000.0;косметический;раздельный;лоджия;1995;1.0;кирпичный;открытая во дворе;р-н Индустриальный;шоссеКосмонавтов, 181А;0;1
401;3;63.0;10;10;4600000.0;евро;совмещенный;лоджия;2000;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Костычева, 18;0;1
402;3;90.0;13;7;7800000.0;дизайнерский;совмещенный;балкон;2004;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;улица Малкова, 26;1;0
403;1;33.0;5;3;1950000.0;требует ремонта;совмещенный;балкон;1985;0.0;панельный;открытая во дворе;р-н Кировский;улица Волгодонская, 21;0;0
404;1;37.5;16;10;3800000.0;косметический;раздельный;лоджия;2013;1.0;панельный;за шлагбаумом во дворе;р-н Дзержинский;улица Докучаева, 40А;0;1
405;1;31.0;6;5;2800000.0;дизайнерский;совмещенный;лоджия;2021;2.0;монолитный;наземная многоуровневая;р-н Свердловский;улица Лукоянова, 31;1;0
406;;;;;;;;;;;;;;;;
407;1;20.7;26;8;2350000.0;евро;совмещенный;лоджия;2021;1.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Кировский;улица Буксирная, 10;1;0
408;;;;;;;;;;;;;;;;
409;;;;;;;;;;;;;;;;
410;4;85.1;9;7;6000000.0;косметический;раздельный;балкон;1986;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Старцева, 5;0;1
411;3;58.1;9;8;3100000.0;евро;совмещенный;балкон;1983;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Карбышева, 78/1;0;1
412;3;55.0;3;2;2150000.0;косметический;совмещенный;балкон;1969;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Можайская, 20;0;0
413;3;77.3;16;2;6800000.0;евро;раздельный;лоджия;2015;1.0;монолитный;за шлагбаумом во дворе;р-н Свердловский;улица Клары Цеткин, 25А;0;0
414;4;82.5;9;7;6580000.0;косметический;раздельный;балкон;1984;1.0;панельный;за шлагбаумом во дворе;р-н Свердловский;улица 25 Октября, 70;0;0
415;1;41.5;16;6;2800000.0;косметический;раздельный;лоджия;2018;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Баранчинская, 12;0;0
416;1;32.4;5;3;2700000.0;требует ремонта;совмещенный;балкон;1959;0.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Краснова, 26;0;0
417;;;;;;;;;;;;;;;;
418;1;31.0;2;2;2300000.0;косметический;совмещенный;балкон;1961;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Карпинского, 98;0;0
419;1;41.3;10;10;2350000.0;косметический;раздельный;лоджия;2016;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Молдавская, 10А;0;0
420;3;75.8;17;11;5600000.0;косметический;раздельный;лоджия;2000;1.0;панельный;за шлагбаумом во дворе;р-н Мотовилихинский;бульвар Гагарина, 70;1;0
421;;;;;;;;;;;;;;;;
422;2;43.5;9;1;3200000.0;косметический;раздельный;балкон;1978;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Аркадия Гайдара, 11А;0;1
423;;;;;;;;;;;;;;;;
424;2;56.0;9;6;4450000.0;дизайнерский;совмещенный;нет;1985;1.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Максима Горького, 51;0;1
425;1;41.9;10;4;3150000.0;косметический;раздельный;лоджия;2001;2.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;улица Норильская, 11;0;1
426;2;67.0;10;4;4399049.0;косметический;раздельный;лоджия;2014;1.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Омская, 2;0;1
427;1;21.0;9;6;2250000.0;косметический;совмещенный;балкон;1983;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Плеханова, 70;0;0
428;1;27.0;5;4;2199999.0;косметический;раздельный;балкон;1960;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Дружбы, 20;0;0
429;4;85.2;10;8;4450000.0;требует ремонта;раздельный;лоджия;1988;1.0;панельный;за шлагбаумом во дворе;р-н Свердловский;улица Яблочкова, 48;0;1
430;;;;;;;;;;;;;;;;
431;1;43.2;23;16;4130000.0;евро;совмещенный;лоджия;2021;0.0;монолитный;подземная, за шлагбаумом во дворе;р-н Индустриальный;улица Комбайнёров, 43;1;0
432;;;;;;;;;;;;;;;;
433;2;44.0;5;1;2530000.0;косметический;раздельный;нет;1968;0.0;панельный;открытая во дворе;р-н Свердловский;улица Таборская, 22;0;0
434;2;53.0;10;10;3500000.0;евро;раздельный;лоджия;2011;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Генерала Черняховского, 57;0;1
435;3;71.1;16;2;4600000.0;косметический;раздельный;балкон;1997;1.0;панельный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Уральская, 51А;1;0
436;1;21.1;26;26;2560000.0;евро;совмещенный;лоджия;2021;2.0;монолитный;за шлагбаумом во дворе;р-н Кировский;улица Буксирная, 10;1;0
437;2;58.7;25;15;4250000.0;евро;совмещенный;лоджия;2019;2.0;монолитный;наземная многоуровневая, открытая во дворе;р-н Свердловский;улица Красные Казармы, 67;0;0
438;3;52.1;9;8;4100000.0;косметический;совмещенный;лоджия;1972;1.0;панельный;открытая во дворе;р-н Свердловский;улица Фонтанная, 9;0;0
439;3;63.7;25;9;5600000.0;евро;несколько;лоджия;2019;2.0;монолитный;за шлагбаумом во дворе;р-н Индустриальный;улица Мира, 115Б;1;0
440;2;73.0;5;5;8700000.0;дизайнерский;несколько;балкон;2009;0.0;монолитный;за шлагбаумом во дворе;р-н Ленинский;улица Николая Островского, 29;1;0
441;3;74.0;10;4;4600000.0;евро;раздельный;лоджия;2009;2.0;кирпичный;за шлагбаумом во дворе;р-н Орджоникидзевский;улица Генерала Черняховского, 49;0;0
442;1;32.0;5;5;2400000.0;косметический;совмещенный;балкон;1987;0.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица КИМ, 91А;0;0
443;1;32.0;5;5;2400000.0;косметический;совмещенный;балкон;1987;0.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица КИМ, 91А;0;0
444;1;37.3;6;5;2800000.0;косметический;совмещенный;лоджия;2017;0.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Лядовская, 127Б;0;0
445;2;49.3;10;9;4300000.0;требует ремонта;раздельный;лоджия;1993;1.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Революции, 6;0;1
446;1;36.0;5;1;2190000.0;косметический;совмещенный;нет;1964;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Мира, 126А;0;0
447;3;90.0;10;6;6400000.0;евро;несколько;нет;2000;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;улица Малкова, 26;1;0
448;2;59.9;19;11;5300000.0;требует ремонта;несколько;лоджия;2012;1.0;кирпичный;подземная, открытая во дворе;р-н Дзержинский;улица Рабочая, 7;0;1
449;4;160.0;5;5;17500000.0;дизайнерский;совмещенный;балкон;1954;1.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;Комсомольский проспект, 49;0;0
450;;;;;;;;;;;;;;;;
451;;;;;;;;;;;;;;;;
452;1;46.9;17;3;3900000.0;косметический;совмещенный;балкон;2006;2.0;монолитный;подземная, за шлагбаумом во дворе;р-н Мотовилихинский;улица Красновишерская, 39;1;0
453;2;59.0;17;3;4520000.0;косметический;раздельный;балкон;2014;2.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;улица Кронштадтская, 33;1;0
454;2;80.1;6;5;6900000.0;косметический;раздельный;лоджия;2004;0.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Чкалова, 38А;0;0
455;;;;;;;;;;;;;;;;
456;;;;;;;;;;;;;;;;
457;2;38.3;9;9;1400000.0;требует ремонта;раздельный;нет;1985;2.0;кирпичный;открытая во дворе;р-н Кировский;улица Ласьвинская, 76;1;1
458;1;28.8;4;3;3060000.0;косметический;совмещенный;лоджия;2016;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Агатовая, 36;0;0
459;1;47.0;19;18;3790000.0;евро;совмещенный;лоджия;2020;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Челюскинцев, 23;0;0
460;3;81.0;16;6;7400000.0;косметический;раздельный;лоджия;2020;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Кисловодская, 12;0;0
461;1;51.0;19;10;3360000.0;дизайнерский;совмещенный;лоджия;2011;1.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Ивана Франко, 42;1;1
462;3;81.0;16;6;7400000.0;косметический;раздельный;лоджия;2020;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Кисловодская, 12;0;0
463;2;53.4;10;8;4990000.0;евро;раздельный;лоджия;1992;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;Парковый проспект, 33;0;1
464;1;34.5;9;1;2790000.0;евро;раздельный;нет;1992;1.0;панельный;открытая во дворе;р-н Индустриальный;улица Норильская, 9;0;1
465;3;53.0;9;7;3670000.0;косметический;совмещенный;лоджия;1980;1.0;панельный;открытая во дворе;р-н Индустриальный;улица Архитектора Свиязева, 28А;0;1
466;1;34.0;10;5;2150000.0;косметический;раздельный;лоджия;2012;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Уссурийская, 27А;0;1
467;;;;;;;;;;;;;;;;
468;1;36.3;10;5;3400000.0;косметический;совмещенный;лоджия;2005;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Юрша, 25/1;0;0
469;2;52.0;10;10;4200000.0;евро;раздельный;балкон;1998;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Куфонина, 16;0;0
470;1;35.7;3;3;1700000.0;требует ремонта;совмещенный;балкон;1962;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Новосибирская, 18А;0;0
471;1;32.0;5;2;2800000.0;евро;совмещенный;нет;1972;0.0;кирпичный;открытая во дворе;р-н Ленинский;улица Монастырская, 93;0;0
472;;;;;;;;;;;;;;;;
473;2;74.1;16;15;7500000.0;дизайнерский;раздельный;лоджия;2013;1.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;шоссеКосмонавтов, 86А;1;1
474;1;42.0;10;4;4100000.0;косметический;совмещенный;балкон;2006;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;бульвар Гагарина, 66А;0;0
475;3;84.4;10;7;6600000.0;евро;раздельный;лоджия;2003;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Рабоче-Крестьянская, 6;0;0
476;1;26.0;5;1;1250000.0;косметический;совмещенный;нет;1987;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Героя Васькина, 11;1;0
477;1;33.0;17;12;2500000.0;косметический;совмещенный;лоджия;2016;1.0;монолитный;открытая во дворе;р-н Кировский;улица Байкальская, 7Б;0;0
478;2;54.0;9;7;3600000.0;требует ремонта;раздельный;лоджия;1972;1.0;кирпичный;открытая во дворе;р-н Ленинский;улица Луначарского, 90;0;1
479;3;61.7;5;3;2900000.0;евро;совмещенный;балкон;1973;0.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Ивана Франко, 40/1;0;0
480;3;67.0;10;2;4100000.0;косметический;раздельный;балкон;1988;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Юрша, 9А;0;1
481;3;74.0;10;6;4650000.0;косметический;раздельный;лоджия;1999;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;р-н Мотовилихинский;улица Пушкарская, 92;0;1
482;3;60.3;9;6;4450000.0;требует ремонта;раздельный;лоджия;1975;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;р-н Ленинский;улица Луначарского, 94;0;0
483;2;38.4;10;10;2750000.0;евро;раздельный;лоджия;2002;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;р-н Орджоникидзевский;улица Янаульская, 30;0;0
484;2;51.0;9;4;3500000.0;косметический;раздельный;лоджия;1970;1.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Тургенева, 39;0;1
485;2;47.6;5;1;3100000.0;евро;совмещенный;балкон;1973;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Сивкова, 3;0;0
486;3;57.0;16;10;4999999.0;косметический;совмещенный;лоджия;2020;2.0;монолитный;открытая во дворе;р-н Мотовилихинский;улица Сапфирная, 14;0;0
487;;;;;;;;;;;;;;;;
488;2;45.0;5;4;3690000.0;евро;совмещенный;нет;1962;0.0;кирпичный;открытая во дворе;р-н Ленинский;улица Ленина, 78;0;0
489;;;;;;;;;;;;;;;;
490;;;;;;;;;;;;;;;;
491;3;58.0;9;2;2900000.0;косметический;раздельный;балкон;1981;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Молдавская, 4;0;1
