number of rooms;area of apartment;number of floors;apartment floor;year of construction;elevator;concierge;garbage chute;repair_дизайнерский;repair_евро;repair_косметический;repair_требует ремонта;bathroom_несколько;bathroom_раздельный;bathroom_совмещенный;terrace_балкон;terrace_лоджия;terrace_нет;type of house_блочный;type of house_деревянный;type of house_кирпичный;type of house_монолитный;type of house_панельный;district_Дзержинский;district_Индустриальный;district_Кировский;district_Ленинский;district_Мотовилихинский;district_Орджоникидзевский;district_Свердловский;lat;lon;edu;health;culture;eat;distance;price
2.0;44.0;4.0;1.0;1961.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.040924;56.10675;7.0;0.0;0.0;19.0;7981.54;2500000.0
2.0;54.7;17.0;10.0;2018.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;58.1265;56.3899;4.0;3.0;1.0;5.0;15990.44;2999000.0
2.0;43.5;9.0;1.0;1989.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.96677;56.271362;33.0;20.0;3.0;156.0;5451.24;2690000.0
2.0;57.0;17.0;10.0;2011.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.984943;56.283146;58.0;32.0;8.0;344.0;4251.13;4450000.0
2.0;57.0;19.0;5.0;2020.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.98999;56.265526;63.0;37.0;10.0;378.0;3114.94;4900000.0
2.0;43.3;9.0;7.0;1968.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;57.99712;56.295067;55.0;29.0;8.0;323.0;4142.03;3500000.0
3.0;75.4;10.0;10.0;2004.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;57.999004;56.148354;13.0;17.0;5.0;135.0;4945.67;5850000.0
3.0;58.0;5.0;1.0;1975.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;58.00838;56.27306;59.0;35.0;9.0;360.0;2580.47;4390000.0
3.0;42.0;5.0;3.0;1962.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.965374;56.228275;27.0;24.0;8.0;220.0;5014.55;2750000.0
1.0;29.7;5.0;1.0;1973.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;58.01362;56.30209;51.0;27.0;7.0;289.0;4294.83;2200000.0
2.0;57.5;16.0;8.0;2013.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.03515;56.14243;8.0;5.0;2.0;49.0;5815.07;4600000.0
3.0;72.0;20.0;5.0;2013.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.999825;56.268543;62.0;37.0;9.0;375.0;2590.04;6300000.0
2.0;71.0;20.0;3.0;2014.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.986366;56.2956;58.0;31.0;6.0;308.0;4731.26;4450000.0
2.0;44.0;5.0;4.0;1972.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.97888;56.293037;56.0;28.0;6.0;252.0;5136.9;2800000.0
2.0;43.7;9.0;3.0;1978.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.96581;56.217075;23.0;25.0;8.0;204.0;5019.18;2950000.0
3.0;58.7;5.0;1.0;1969.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;58.10524;56.386063;7.0;5.0;2.0;11.0;14003.15;2650000.0
1.0;37.2;10.0;10.0;1989.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;57.997673;56.1392;12.0;17.0;5.0;116.0;5505.26;3150000.0
1.0;48.6;25.0;6.0;2015.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;58.000977;56.266815;62.0;37.0;10.0;376.0;2441.75;4660000.0
1.0;25.6;5.0;4.0;1969.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;58.007744;55.934032;1.0;4.0;0.0;19.0;17409.98;1200000.0
2.0;44.0;9.0;9.0;1983.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;58.110188;56.281994;3.0;3.0;2.0;11.0;11515.92;2750000.0
1.0;40.3;3.0;1.0;2015.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;57.973152;56.191433;21.0;27.0;10.0;216.0;4715.6;3600000.0
4.0;133.0;16.0;12.0;2010.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;57.98936;56.23227;59.0;42.0;11.0;392.0;2352.23;10800000.0
3.0;60.4;9.0;9.0;1983.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;58.110188;56.281994;3.0;3.0;2.0;11.0;11515.92;2800000.0
2.0;44.0;5.0;5.0;1963.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.996742;56.249863;63.0;42.0;11.0;388.0;1942.76;3300000.0
1.0;29.5;5.0;5.0;1970.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.97737;56.277515;58.0;31.0;8.0;324.0;4644.42;2050000.0
2.0;49.3;17.0;11.0;2019.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;57.99804;56.201336;44.0;38.0;11.0;356.0;2156.58;4250000.0
2.0;55.0;10.0;8.0;1998.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;57.993553;56.226357;59.0;43.0;11.0;393.0;1888.51;4000000.0
