number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;full address;concierge;garbage chute
1;37.3;6;5;2800000.0;косметический;совмещенный;лоджия;2017;0.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, Лядовская ул., 127Б;0;0
2;49.3;10;9;4300000.0;требует ремонта;раздельный;лоджия;1993;1.0;кирпичный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. Революции, 6;0;1
1;36.0;5;1;2190000.0;косметический;совмещенный;нет;1964;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Мира, 126А;0;0
3;90.0;10;6;6400000.0;евро;несколько;нет;2000;1.0;кирпичный;за шлагбаумом во дворе;Дзержинский;Пермский край, Пермь, ул. Малкова, 26;1;0
2;59.9;19;11;5300000.0;требует ремонта;несколько;лоджия;2012;1.0;кирпичный;подземная, открытая во дворе;Дзержинский;Пермский край, Пермь, Рабочая ул., 7;0;1
1;40.0;16;15;3240000.0;евро;раздельный;лоджия;2015;1.0;панельный;;Кировский;Пермский край, Пермь, 5-я Каховская ул., 8Б;0;1
1;36.6;5;3;2650000.0;косметический;совмещенный;нет;1963;0.0;кирпичный;;Индустриальный;Пермский край, Пермь, ул. Баумана, 1;0;0
1;46.9;17;3;3900000.0;косметический;совмещенный;балкон;2006;2.0;монолитный;подземная, за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, Красновишерская ул., 39;1;0
2;59.0;17;3;4520000.0;косметический;раздельный;балкон;2014;2.0;кирпичный;за шлагбаумом во дворе;Дзержинский;Пермский край, Пермь, Кронштадтская ул., 33;1;0
2;80.1;6;5;6900000.0;косметический;раздельный;лоджия;2004;0.0;кирпичный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. Чкалова, 38А;0;0
1;30.9;5;5;2350000.0;косметический;совмещенный;нет;1969;0.0;кирпичный;;Дзержинский;Пермский край, Пермь, ш. Космонавтов, 86;0;0
1;33.1;17;15;2500000.0;косметический;совмещенный;лоджия;2018;1.0;кирпичный;;Кировский;Пермский край, Пермь, Байкальская ул., 7Б;0;0
2;38.3;9;9;1400000.0;требует ремонта;раздельный;нет;1985;2.0;кирпичный;открытая во дворе;Кировский;Пермский край, Пермь, Ласьвинская ул., 76;1;1
1;28.8;4;3;3060000.0;косметический;совмещенный;лоджия;2016;0.0;кирпичный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, Агатовая ул., 36;0;0
1;47.0;19;18;3790000.0;евро;совмещенный;лоджия;2020;1.0;кирпичный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Челюскинцев, 23;0;0
1;51.0;19;10;3360000.0;дизайнерский;совмещенный;лоджия;2011;1.0;кирпичный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Ивана Франко, 42;1;1
2;53.4;10;8;4990000.0;евро;раздельный;лоджия;1992;1.0;кирпичный;за шлагбаумом во дворе;Дзержинский;Пермский край, Пермь, Парковый пр-т, 33;0;1
1;34.5;9;1;2790000.0;евро;раздельный;нет;1992;1.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, Норильская ул., 9;0;1
3;53.0;9;7;3670000.0;косметический;совмещенный;лоджия;1980;1.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Архитектора Свиязева, 28А;0;1
1;34.0;10;5;2150000.0;косметический;раздельный;лоджия;2012;1.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Уссурийская ул., 27А;0;1
2;43.8;5;1;3550000.0;требует ремонта;совмещенный;лоджия;1984;0.0;кирпичный;;Ленинский;Пермский край, Пермь, ул. Крисанова, 10;0;1
1;36.3;10;5;3400000.0;косметический;совмещенный;лоджия;2005;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, ул. Юрша, 25/1;0;0
2;52.0;10;10;4200000.0;евро;раздельный;балкон;1998;1.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Куфонина, 16;0;0
1;35.7;3;3;1700000.0;требует ремонта;совмещенный;балкон;1962;0.0;кирпичный;открытая во дворе;Свердловский;Пермский край, Пермь, Новосибирская ул., 18А;0;0
1;32.0;5;2;2800000.0;евро;совмещенный;нет;1972;0.0;кирпичный;открытая во дворе;Ленинский;Пермский край, Пермь, Монастырская ул., 93;0;0
1;30.5;5;4;2350000.0;косметический;совмещенный;нет;1964;0.0;кирпичный;;Индустриальный;Пермский край, Пермь, ул. Советской Армии, 27В;0;0
1;42.0;10;4;4100000.0;косметический;совмещенный;балкон;2006;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, б-р Гагарина, 66А;0;0
3;84.4;10;7;6600000.0;евро;раздельный;лоджия;2003;1.0;кирпичный;открытая во дворе;Свердловский;Пермский край, Пермь, Рабоче-Крестьянская ул., 6;0;0
1;26.0;5;1;1250000.0;косметический;совмещенный;нет;1987;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Героя Васькина, 11;1;0
1;33.0;17;12;2500000.0;косметический;совмещенный;лоджия;2016;1.0;монолитный;открытая во дворе;Кировский;Пермский край, Пермь, Байкальская ул., 7Б;0;0
2;54.0;9;7;3600000.0;требует ремонта;раздельный;лоджия;1972;1.0;кирпичный;открытая во дворе;Ленинский;Пермский край, Пермь, ул. Луначарского, 90;0;1
3;61.7;5;3;2900000.0;евро;совмещенный;балкон;1973;0.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Ивана Франко, 40/1;0;0
3;67.0;10;2;4100000.0;косметический;раздельный;балкон;1988;1.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Юрша, 9А;0;1
3;74.0;10;6;4650000.0;косметический;раздельный;лоджия;1999;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;Мотовилихинский;Пермский край, Пермь, Пушкарская ул., 92;0;1
3;60.3;9;6;4450000.0;требует ремонта;раздельный;лоджия;1975;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;Ленинский;Пермский край, Пермь, ул. Луначарского, 94;0;0
2;38.4;10;10;2750000.0;евро;раздельный;лоджия;2002;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Янаульская ул., 30;0;0
2;51.0;9;4;3500000.0;косметический;раздельный;лоджия;1970;1.0;кирпичный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Тургенева, 39;0;1
2;47.6;5;1;3100000.0;евро;совмещенный;балкон;1973;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Сивкова, 3;0;0
3;57.0;16;10;4999999.0;косметический;совмещенный;лоджия;2020;2.0;монолитный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, Сапфирная ул., 14;0;0
2;45.0;5;4;3340000.0;евро;раздельный;балкон;1966;0.0;панельный;;Мотовилихинский;Пермский край, Пермь, ул. Крупской, 89;0;0
2;45.0;5;4;3690000.0;евро;совмещенный;нет;1962;0.0;кирпичный;открытая во дворе;Ленинский;Пермский край, Пермь, ул. Ленина, 78;0;0
3;72.0;20;5;6300000.0;требует ремонта;несколько;лоджия;2013;1.0;кирпичный;;Свердловский;Пермский край, Пермь, ул. Белинского, 31;1;0
3;68.1;9;7;6100000.0;косметический;совмещенный;балкон;1990;1.0;кирпичный;;Ленинский;Пермский край, Пермь, ул. Луначарского, 51;0;1
3;58.0;9;2;2900000.0;косметический;раздельный;балкон;1981;1.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Молдавская ул., 4;0;1
1;36.0;18;14;2630000.0;евро;совмещенный;лоджия;2013;0.0;кирпичный;открытая во дворе;Дзержинский;Пермский край, Пермь, Хабаровская ул., 54;0;0
2;43.0;5;4;3900000.0;дизайнерский;совмещенный;балкон;1970;0.0;кирпичный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Академика Вавилова, 4;0;0
3;60.0;16;7;3570000.0;евро;совмещенный;лоджия;2014;1.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Цимлянская ул., 19Б;0;0
3;79.8;5;5;5100000.0;косметический;раздельный;балкон;1960;0.0;кирпичный;за шлагбаумом во дворе;Ленинский;Пермский край, Пермь, ул. Газеты Звезда, 14;0;0
2;41.2;5;5;2750000.0;косметический;совмещенный;балкон;1959;0.0;кирпичный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Степана Разина, 75;0;0
1;54.0;10;6;2600000.0;косметический;раздельный;балкон;2006;1.0;монолитный;открытая во дворе;Кировский;Пермский край, Пермь, Кировоградская ул., 6;0;0
1;39.6;16;6;2900000.0;косметический;совмещенный;балкон;2009;1.0;монолитный;;Дзержинский;Пермский край, Пермь, Хабаровская ул., 56;0;1
2;49.1;10;10;4700000.0;евро;совмещенный;лоджия;1991;1.0;кирпичный;за шлагбаумом во дворе;Ленинский;Пермский край, Пермь, ул. Луначарского, 51;0;1
2;49.0;12;10;4050000.0;евро;совмещенный;лоджия;1981;2.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, Парковый пр-т, 39;0;1
2;43.6;5;5;3500000.0;евро;совмещенный;балкон;1961;0.0;кирпичный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. Лодыгина, 3А;0;0
1;34.0;2;1;1350000.0;косметический;совмещенный;нет;1959;0.0;кирпичный;;Свердловский;Пермский край, Пермь, Кузбасская ул., 35;0;0
3;58.7;25;21;4700000.0;косметический;совмещенный;лоджия;2018;1.0;монолитный;подземная, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Красные Казармы, 67;0;0
3;61.5;5;2;3690000.0;косметический;раздельный;балкон;1968;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Космонавта Леонова, 56;0;0
3;68.0;10;6;5850000.0;дизайнерский;совмещенный;балкон;1998;1.0;кирпичный;подземная, за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. Максима Горького, 64;0;1
2;49.1;17;10;3300000.0;косметический;раздельный;балкон;2017;1.0;кирпичный;;Орджоникидзевский;Пермский край, Пермь, ул. Карбышева, 47А;0;0
1;20.7;26;10;2370000.0;евро;совмещенный;лоджия;2021;1.0;монолитный;за шлагбаумом во дворе, открытая во дворе;Кировский;Пермский край, Пермь, Буксирная ул., 10;1;0
1;33.7;10;5;3275000.0;косметический;раздельный;балкон;2005;1.0;панельный;за шлагбаумом во дворе;Индустриальный;Пермский край, Пермь, пр-т Декабристов, 23;0;0
3;85.5;9;8;4750000.0;евро;совмещенный;лоджия;1986;1.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Старцева, 5;0;1
3;55.5;19;19;6500000.0;евро;совмещенный;балкон;2019;1.0;монолитный;наземная многоуровневая, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Александра Турчевича, 8;0;0
2;56.0;10;3;3350000.0;косметический;раздельный;лоджия;1999;1.0;панельный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, ул. Свободы, 21А;0;1
2;44.9;5;1;2900000.0;косметический;совмещенный;нет;1960;0.0;кирпичный;открытая во дворе;Свердловский;Пермский край, Пермь, ул. Коминтерна, 24;0;0
2;46.9;25;20;5300000.0;евро;совмещенный;лоджия;2020;1.0;монолитный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. Революции, 52Б;0;0
1;42.7;16;5;3250000.0;косметический;раздельный;лоджия;1993;1.0;кирпичный;открытая во дворе;Свердловский;Пермский край, Пермь, ул. Солдатова, 42/2;1;1
1;34.7;9;1;2850000.0;евро;раздельный;нет;1983;1.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Милиционера Власова, 17к5;0;1
2;45.0;5;5;2550000.0;евро;раздельный;балкон;1973;0.0;кирпичный;;Орджоникидзевский;Пермский край, Пермь, Янаульская ул., 10;0;0
2;45.1;5;5;2000000.0;требует ремонта;раздельный;балкон;1974;0.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Академика Веденеева, 53;0;0
2;46.0;25;14;4440000.0;косметический;совмещенный;лоджия;2019;1.0;монолитный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. Чернышевского, 39;1;0
2;50.0;19;12;3290000.0;косметический;совмещенный;балкон;2016;1.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Маршала Толбухина, 23;1;1
1;38.8;9;5;1690000.0;косметический;совмещенный;нет;1992;1.0;кирпичный;открытая во дворе;Кировский;Пермский край, Пермь, Сысольская ул., 6;0;1
1;44.0;25;6;5070000.0;дизайнерский;совмещенный;балкон;2017;3.0;монолитный;подземная;Свердловский;Пермский край, Пермь, ул. Революции, 24;1;0
2;57.0;13;12;6500000.0;дизайнерский;раздельный;лоджия;2008;1.0;монолитный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Василия Каменского, 24;1;0
2;45.0;17;7;4080000.0;косметический;совмещенный;лоджия;2021;1.0;монолитный;подземная, наземная многоуровневая;Дзержинский;Пермский край, Пермь, ул. Овчинникова, 15А;1;0
1;68.0;9;8;6000000.0;дизайнерский;совмещенный;лоджия;2015;1.0;кирпичный;подземная, открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Левченко, 31;0;0
2;44.0;9;7;3800000.0;косметический;совмещенный;лоджия;1983;1.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Куфонина, 13;0;1
2;77.0;10;6;4300000.0;косметический;раздельный;лоджия;2006;1.0;монолитный;за шлагбаумом во дворе;Кировский;Пермский край, Пермь, Кировоградская ул., 6;0;1
2;69.0;10;2;6500000.0;косметический;раздельный;нет;2003;2.0;кирпичный;открытая во дворе;Свердловский;Пермский край, Пермь, ул. Тимирязева, 26;0;0
2;41.7;5;1;2300000.0;косметический;совмещенный;балкон;1968;0.0;кирпичный;открытая во дворе;Дзержинский;Пермский край, Пермь, Сочинская ул., 6;0;0
1;30.0;5;1;2790000.0;косметический;совмещенный;нет;1963;0.0;кирпичный;;Свердловский;Пермский край, Пермь, 1-я Красноармейская ул., 46;0;0
1;36.7;4;3;2800000.0;евро;совмещенный;нет;1949;0.0;кирпичный;;Ленинский;Пермский край, Пермь, ул. Луначарского, 26А;0;0
1;20.9;9;9;1600000.0;косметический;совмещенный;балкон;1979;1.0;кирпичный;открытая во дворе;Свердловский;Пермский край, Пермь, ул. Солдатова, 35;0;1
1;29.0;17;8;3500000.0;дизайнерский;совмещенный;нет;2014;1.0;монолитный;;Ленинский;Пермский край, Пермь, Екатерининская ул., 122;1;0
3;48.3;5;2;3800000.0;евро;совмещенный;балкон;1966;0.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Голева, 3;0;0
2;56.3;19;8;4990000.0;косметический;раздельный;лоджия;2013;1.0;монолитный;;Свердловский;Пермский край, Пермь, ул. Чернышевского, 15Г;1;0
1;30.0;5;5;1800000.0;требует ремонта;раздельный;балкон;1965;0.0;панельный;открытая во дворе;Кировский;Пермский край, Пермь, ул. Маршала Рыбалко, 105А;0;0
2;42.0;5;3;1875000.0;требует ремонта;совмещенный;балкон;1961;0.0;кирпичный;;Орджоникидзевский;Пермский край, Пермь, ул. Вильямса, 37А;0;0
2;39.5;25;8;3720000.0;косметический;совмещенный;лоджия;2018;2.0;монолитный;открытая во дворе;Свердловский;Пермский край, Пермь, ул. Красные Казармы, 69;0;0
1;35.0;9;1;3250000.0;косметический;раздельный;лоджия;1980;1.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, Стахановская ул., 6;0;1
3;56.9;5;2;3390000.0;косметический;совмещенный;балкон;1965;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Мира, 16;0;0
1;31.8;5;5;2400000.0;евро;совмещенный;нет;1962;0.0;кирпичный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, Бородинская ул., 26;0;0
2;62.0;17;14;4800000.0;требует ремонта;совмещенный;балкон;2021;1.0;кирпичный;;Индустриальный;Пермский край, Пермь, ул. Подводников, 88Б;0;0
1;20.4;5;5;2400000.0;евро;совмещенный;лоджия;2019;0.0;монолитный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, Уинская ул., 68;0;0
1;30.4;5;2;2560000.0;косметический;раздельный;балкон;1964;0.0;кирпичный;;Индустриальный;Пермский край, Пермь, Стахановская ул., 59А;0;0
2;61.0;25;7;5700000.0;евро;совмещенный;лоджия;2018;2.0;монолитный;открытая во дворе;Свердловский;Пермский край, Пермь, ул. Красные Казармы, 68;0;0
1;33.0;5;1;2000000.0;косметический;совмещенный;нет;1965;0.0;кирпичный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. КИМ, 86;0;0
3;57.0;5;1;2100000.0;косметический;совмещенный;нет;1963;0.0;блочный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Репина, 2А;0;0
1;38.1;13;8;3400000.0;требует ремонта;совмещенный;нет;1989;2.0;кирпичный;;Свердловский;Пермский край, Пермь, ул. Николая Островского, 55;0;0
1;31.0;5;5;1675000.0;евро;совмещенный;балкон;1961;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Вильямса, 37А;0;0
2;42.5;4;2;1720000.0;косметический;совмещенный;балкон;1960;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Криворожская ул., 42;0;0
2;42.4;4;3;3400000.0;евро;совмещенный;нет;1917;0.0;кирпичный;;Ленинский;Пермский край, Пермь, ул. Куйбышева, 7;0;0
4;87.4;9;5;4050000.0;косметический;раздельный;лоджия;1984;1.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, Уральская ул., 51;0;0
2;43.3;9;7;3500000.0;косметический;раздельный;лоджия;1968;1.0;кирпичный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Крупской, 79;0;1
2;55.0;17;5;2890000.0;косметический;совмещенный;балкон;2013;1.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Уссурийская ул., 25;0;1
3;67.4;10;9;3650000.0;евро;раздельный;балкон;1991;1.0;панельный;открытая во дворе;Свердловский;Пермский край, Пермь, Полазненская ул., 26;0;1
1;30.2;2;1;2200000.0;косметический;совмещенный;нет;1959;0.0;кирпичный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, Пушкарская ул., 128;0;0
1;32.4;5;4;1800000.0;косметический;раздельный;балкон;1967;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Писарева, 30;0;0
2;44.0;5;4;2300000.0;косметический;совмещенный;балкон;1975;0.0;панельный;;Орджоникидзевский;Пермский край, Пермь, ул. Генерала Черняховского, 88;0;0
1;35.0;10;8;3000000.0;косметический;раздельный;лоджия;1972;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Куфонина, 28/1;0;1
3;60.0;9;1;3400000.0;дизайнерский;совмещенный;лоджия;1984;1.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Сигаева, 6;0;1
2;68.5;10;7;5550000.0;евро;раздельный;лоджия;2006;2.0;кирпичный;подземная, за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, ул. Макаренко, 6;0;0
3;60.8;9;7;3800000.0;требует ремонта;раздельный;балкон;1978;1.0;панельный;;Дзержинский;Пермский край, Пермь, Подлесная ул., 23/1;0;1
1;40.0;25;23;3550000.0;косметический;совмещенный;лоджия;2017;3.0;монолитный;открытая во дворе;Дзержинский;Пермский край, Пермь, Полевая ул., 10;0;0
2;44.4;5;4;2900000.0;косметический;совмещенный;балкон;1964;0.0;панельный;;Мотовилихинский;Пермский край, Пермь, б-р Гагарина, 93/2;0;0
2;42.5;5;3;2900000.0;косметический;совмещенный;нет;1965;0.0;кирпичный;;Индустриальный;Пермский край, Пермь, ул. Мира, 75;0;0
2;44.4;5;1;3080000.0;косметический;совмещенный;нет;1967;0.0;кирпичный;открытая во дворе;Свердловский;Пермский край, Пермь, Малая Ямская ул., 5А;0;0
3;85.7;17;5;6410000.0;евро;раздельный;лоджия;2009;1.0;кирпичный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, Новосибирская ул., 13;1;0
1;34.1;10;4;3080000.0;косметический;раздельный;лоджия;1999;1.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Куфонина, 22;0;1
1;31.5;9;7;3050000.0;евро;совмещенный;лоджия;1987;1.0;кирпичный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Василия Каменского, 2А;0;1
1;31.5;9;7;3050000.0;евро;совмещенный;лоджия;1987;1.0;кирпичный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Василия Каменского, 2А;0;1
3;60.2;9;7;3599000.0;косметический;раздельный;лоджия;1971;1.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Космонавта Беляева, 47;0;1
1;33.8;5;1;1790000.0;косметический;совмещенный;лоджия;2015;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Ольховская ул., 6;0;0
3;61.2;5;1;3200000.0;косметический;раздельный;балкон;1972;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Архитектора Свиязева, 50/2;0;0
1;30.5;3;1;1920000.0;косметический;совмещенный;нет;1961;0.0;кирпичный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, Лядовская ул., 119;0;0
2;48.3;25;9;5000000.0;дизайнерский;совмещенный;балкон;2017;3.0;монолитный;подземная, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Революции, 48А;1;0
3;67.1;9;3;4700000.0;косметический;раздельный;балкон;1988;1.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, Уинская ул., 18;0;0
2;57.0;16;14;5500000.0;косметический;раздельный;лоджия;2015;1.0;монолитный;подземная, наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Крупской, 67;0;1
2;42.0;2;1;1790000.0;косметический;совмещенный;нет;1960;0.0;кирпичный;открытая во дворе;Кировский;Пермский край, Пермь, Чебоксарская ул., 12;0;0
3;60.5;8;3;4250000.0;требует ремонта;раздельный;лоджия;1996;1.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Николая Островского, 113;0;0
2;22.4;5;4;1560000.0;косметический;совмещенный;нет;1973;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Космонавта Леонова, 43А;0;0
1;41.6;23;8;3800000.0;косметический;совмещенный;балкон;2021;2.0;монолитный;подземная, открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Комбайнёров, 43;1;0
3;52.0;9;3;3400000.0;требует ремонта;раздельный;лоджия;1973;1.0;кирпичный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Челюскинцев, 19;0;1
3;68.9;9;1;5800000.0;евро;совмещенный;нет;1984;1.0;панельный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. 25 Октября, 70;0;1
3;74.9;4;3;5175000.0;евро;совмещенный;балкон;1959;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Мира, 55;0;0
3;58.4;5;1;3335000.0;косметический;совмещенный;нет;1964;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Братьев Игнатовых, 17;0;0
1;32.0;5;5;2300000.0;косметический;совмещенный;балкон;1963;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Танкистов, 68;0;0
1;44.5;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Героев Хасана, 11Б;1;0
3;58.2;9;3;3700000.0;косметический;раздельный;балкон;1984;1.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Звонарёва, 1;0;0
1;31.0;5;4;2049000.0;евро;совмещенный;нет;1968;0.0;кирпичный;открытая во дворе;Кировский;Пермский край, Пермь, ул. Маршала Рыбалко, 42;0;0
2;54.0;7;2;4950000.0;косметический;раздельный;лоджия;2000;1.0;кирпичный;открытая во дворе;Ленинский;Пермский край, Пермь, Советская ул., 39;0;1
1;29.6;5;1;2500000.0;евро;совмещенный;нет;1963;0.0;кирпичный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Дружбы, 13;0;0
2;56.3;9;8;3600000.0;требует ремонта;раздельный;лоджия;1991;1.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, Уинская ул., 8;0;1
1;36.3;19;3;2950000.0;косметический;совмещенный;лоджия;2013;1.0;блочный;открытая во дворе;Свердловский;Пермский край, Пермь, Самаркандская ул., 147;1;0
2;41.0;5;5;2420000.0;евро;совмещенный;балкон;1970;0.0;кирпичный;;Дзержинский;Пермский край, Пермь, Ветлужская ул., 97;0;0
2;58.0;10;7;4300000.0;косметический;раздельный;лоджия;2011;1.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, Сочинская ул., 2;0;0
3;60.5;25;21;5199000.0;косметический;совмещенный;лоджия;2020;1.0;монолитный;наземная многоуровневая, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Василия Татищева, 6;1;0
2;47.0;5;4;3070000.0;косметический;раздельный;балкон;1969;0.0;кирпичный;открытая во дворе;Дзержинский;Пермский край, Пермь, Монастырская ул., 117;0;0
3;58.0;9;5;3770000.0;косметический;раздельный;балкон;1977;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Комиссара Пожарского, 12;0;1
1;31.3;3;3;2430000.0;косметический;раздельный;балкон;1961;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, Кавалерийская ул., 51;0;0
2;42.6;5;1;2370000.0;косметический;совмещенный;нет;1962;0.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, Хабаровская ул., 163;0;0
1;31.0;5;5;1520000.0;евро;совмещенный;балкон;1977;0.0;панельный;открытая во дворе;Свердловский;Пермский край, Пермь, посёлок Новые Ляды, ул. Мира, 20;0;0
2;43.0;5;3;2900000.0;косметический;совмещенный;балкон;1959;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Одоевского, 28;0;0
2;55.7;10;3;3500000.0;евро;раздельный;лоджия;2002;1.0;панельный;подземная, открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Янаульская ул., 30;0;1
1;35.0;14;11;3500000.0;евро;раздельный;лоджия;1985;4.0;кирпичный;за шлагбаумом во дворе;Дзержинский;Пермский край, Пермь, ул. Плеханова, 63А;1;1
3;81.9;7;1;5600000.0;евро;раздельный;лоджия;2006;1.0;панельный;;Дзержинский;Пермский край, Пермь, Транспортная ул., 13;0;1
3;57.0;9;8;3500000.0;требует ремонта;раздельный;балкон;1978;1.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, Чердынская ул., 18;0;1
3;42.4;5;5;3100000.0;евро;совмещенный;балкон;1966;0.0;кирпичный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Ушинского, 9;0;0
1;38.0;10;4;2900000.0;косметический;раздельный;лоджия;2014;1.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Маяковского, 41А;0;1
2;44.1;4;2;2050000.0;косметический;совмещенный;нет;1961;0.0;кирпичный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Вильямса, 41;0;0
