number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;full address;concierge;garbage chute
1;32.5;6;5;3200000.0;косметический;совмещенный;нет;1987;0.0;кирпичный;за шлагбаумом во дворе;Ленинский;Пермский край, Пермь, ул. Николая Островского, 27;0;0
1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, Красногвардейская ул., 2;0;0
2;47.7;20;7;4960000.0;косметический;совмещенный;лоджия;2017;2.0;панельный;подземная;Свердловский;Пермский край, Пермь, ул. Пушкина, 6;1;0
1;33.2;16;5;2420000.0;косметический;совмещенный;лоджия;2016;1.0;кирпичный;за шлагбаумом во дворе;Кировский;Пермский край, Пермь, ул. Калинина, 46;0;1
3;66.6;10;6;2850000.0;косметический;раздельный;балкон;2009;2.0;панельный;наземная многоуровневая;Орджоникидзевский;Пермский край, Пермь, Делегатская ул., 35;0;1
2;62.0;25;22;4500000.0;косметический;раздельный;лоджия;2016;2.0;монолитный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Грибоедова, 72;1;1
2;84.0;16;8;5300000.0;дизайнерский;совмещенный;лоджия;2009;1.0;монолитный;подземная, за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, ул. Гусарова, 20;1;0
1;41.0;17;6;3000000.0;косметический;совмещенный;лоджия;2016;1.0;монолитный;за шлагбаумом во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Карбышева, 41;1;1
1;45.0;24;4;5200000.0;евро;совмещенный;лоджия;2019;1.0;монолитный;подземная, за шлагбаумом во дворе, открытая во дворе;Дзержинский;Пермский край, Пермь, Локомотивная ул., 1А;1;0
2;41.1;10;10;3750000.0;евро;раздельный;лоджия;2015;2.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, ул. Челюскинцев, 2Б;0;0
1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, Красногвардейская ул., 2;0;0
1;21.0;25;23;2550000.0;косметический;совмещенный;лоджия;2018;1.0;монолитный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Советской Армии, 60;1;0
1;31.4;5;3;2400000.0;требует ремонта;совмещенный;балкон;1962;0.0;кирпичный;;Свердловский;Пермский край, Пермь, ул. Клары Цеткин, 11;0;0
2;44.4;5;5;2790000.0;косметический;раздельный;балкон;1970;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Архитектора Свиязева, 34;0;0
2;42.6;5;3;3000000.0;косметический;совмещенный;балкон;1961;0.0;кирпичный;;Индустриальный;Пермский край, Пермь, ул. Чайковского, 27;0;0
1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;Мотовилихинский;Пермский край, Пермь, Красногвардейская ул., 2;0;0
2;41.5;5;1;3300000.0;косметический;совмещенный;нет;1964;0.0;кирпичный;;Индустриальный;Пермский край, Пермь, ул. Мира, 122;0;0
2;46.3;25;22;3990000.0;косметический;совмещенный;лоджия;2018;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;Свердловский;Пермский край, Пермь, ул. Красные Казармы, 68;0;0
3;42.7;5;3;3100000.0;косметический;совмещенный;балкон;1966;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Советской Армии, 25;0;0
1;43.0;9;6;2200000.0;косметический;совмещенный;лоджия;1997;1.0;панельный;;Орджоникидзевский;Пермский край, Пермь, ул. Луговского, 3;0;0
3;66.8;10;9;4000000.0;косметический;раздельный;балкон;1990;2.0;панельный;открытая во дворе;Кировский;Пермский край, Пермь, Сокольская ул., 10;0;1
2;47.0;5;3;2150000.0;евро;совмещенный;балкон;1965;0.0;кирпичный;;Орджоникидзевский;Пермский край, Пермь, Мелитопольская ул., 24;0;0
3;77.9;17;14;4800000.0;дизайнерский;совмещенный;лоджия;2009;1.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;Орджоникидзевский;Пермский край, Пермь, ул. Карбышева, 6;1;0
2;38.9;5;4;1650000.0;косметический;раздельный;нет;1990;0.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Краснослудская ул., 17;0;0
2;45.0;5;3;3100000.0;дизайнерский;совмещенный;балкон;1962;0.0;кирпичный;за шлагбаумом во дворе;Ленинский;Пермский край, Пермь, ул. Ленина, 78;0;0
3;53.0;9;2;3700000.0;дизайнерский;совмещенный;лоджия;1974;1.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, Чердынская ул., 22;0;1
4;85.1;9;2;6800000.0;евро;совмещенный;лоджия;1984;1.0;кирпичный;открытая во дворе;Свердловский;Пермский край, Пермь, Весёлая ул., 1;0;1
1;45.0;17;5;3280000.0;косметический;совмещенный;балкон;2009;1.0;кирпичный;за шлагбаумом во дворе;Свердловский;Пермский край, Пермь, Новосибирская ул., 13;1;0
2;44.4;5;1;2650000.0;требует ремонта;раздельный;нет;1970;0.0;панельный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Геологов, 1;0;0
2;43.7;5;4;3150000.0;косметический;совмещенный;балкон;1966;0.0;кирпичный;;Свердловский;Пермский край, Пермь, ул. Газеты Звезда, 33;0;0
1;31.3;10;4;2100000.0;косметический;раздельный;балкон;2018;2.0;панельный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Ракитная ул., 42;0;0
