physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;extra;type of house;parking
Пермский край, Пермь, ул. Калинина, 30А| р-н Кировский;1;33 м²;5;5;1950000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_33m_55et._2193809556;;совмещенный;;балкон;;;газоснабжение;кирпичный;открытая во дворе
Пермь, Боровая улица, 21| р-н Дзержинский;3;85 м²;25;15;8299000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_85m_1525et._2056578603;;несколько;на улицу, во двор;балкон;;1;;монолитный;подземная
Пермский край, Пермь, ул. Николая Островского, 52| р-н Свердловский;2;48.6 м²;21;21;5400000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_486m_2121et._2227395074;;совмещенный;на улицу;лоджия;;;;монолитный;подземная, за шлагбаумом во дворе
Пермский край, Пермь, ул. Дениса Давыдова, 11| р-н Индустриальный;3;75 м²;22;6;7500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_75m_622et._2224089154;;несколько;во двор;нет;2020;1;консьерж;монолитный;подземная, за шлагбаумом во дворе
Пермь, Стахановская улица, 59А| р-н Индустриальный;2;44.5 м²;5;2;2650000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_445m_25et._2233054721;;совмещенный;во двор;балкон;1964;;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Революции, 24| р-н Свердловский;1;44 м²;25;6;5070000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_44m_625et._2160422844;дизайнерский;совмещенный;на улицу;балкон;2017;3;консьерж;монолитный;подземная
Пермский край, Пермь, ул. Василия Каменского, 24| р-н Дзержинский;2;57 м²;13;12;6500000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_57m_1213et._2190130208;дизайнерский;раздельный;во двор;лоджия;2008;1;консьерж;монолитный;открытая во дворе
Пермский край, Пермь, Техническая ул., 12| р-н Мотовилихинский;1;25 м²;5;1;2150000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_25m_15et._2223792131;;совмещенный;во двор;нет;;0;;кирпичный;открытая во дворе
ул. Сапфирная, д. 15| р-н Мотовилихинский;3;63 м²;16;4;4882500;https://www.avito.ru/perm/kvartiry/3-k._kvartira_63m_416et._2201986293;;;на улицу, во двор;лоджия;;1;;монолитный;
Пермский край, Пермь, ул. 25 Октября, 68| р-н Свердловский;3;63 м²;9;5;5700000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_63_m_59_et._2193388203;косметический;раздельный;на улицу, во двор;балкон;;1;газоснабжение;панельный;за шлагбаумом во дворе
ул. Сапфирная, д. 13| р-н Мотовилихинский;3;52.7 м²;17;9;4621000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_527m_917et._2092892012;;;;лоджия;;1;;монолитный;наземная многоуровневая, открытая во дворе
Пермский край, Пермь, ул. Красные Казармы, 10| р-н Свердловский;1;35.9 м²;3;3;2050000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_359m_33et._2185702376;требует ремонта;раздельный;во двор;нет;;;;кирпичный;
Пермский край, Пермь, ул. Клары Цеткин, 23| р-н Свердловский;1;18.6 м²;9;9;1270000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_186m_99et._2223945998;косметический;совмещенный;на улицу;нет;;1;;кирпичный;открытая во дворе
ул. Пушкарская, д. 142| р-н Мотовилихинский;2;62 м²;18;13;4650000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_62m_1318et._1680910993;;;;балкон;;;;монолитный;
ул. Николая Островского, д. 52| р-н Свердловский;2;62.8 м²;13;4;6159000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_628_m_413_et._2158406621;;;;;;;;монолитный;
Пермский край, Пермь, ул. Овчинникова, 15А| р-н Дзержинский;2;45 м²;17;7;4080000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_717et._2210931842;косметический;совмещенный;во двор;лоджия;2021;1;консьерж;монолитный;подземная, наземная многоуровневая
Пермский край, Пермь, Кировоградская ул., 52| р-н Кировский;3;112 м²;12;10;7500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_112m_1012et._302409702;;;на улицу, во двор;лоджия;;;;кирпичный;
Пермский край, Пермь, ул. Левченко, 31| р-н Индустриальный;своб. планировка;68 м²;9;8;6000000;https://www.avito.ru/perm/kvartiry/svob._planirovka_68m_89et._2192601042;дизайнерский;совмещенный;на улицу;лоджия;2015;;;кирпичный;подземная, открытая во дворе
Пермский край, Пермь, ул. Куфонина, 13| р-н Дзержинский;2;44 м²;9;7;3800000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_79et._2230865049;косметический;совмещенный;на улицу;лоджия;1983;1;мусоропровод, газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Строителей, 16| р-н Дзержинский;1;35 м²;10;6;3150000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_610et._2234614804;;;;лоджия;1985;;мусоропровод;панельный;
ул. Николая Островского, д. 52| р-н Свердловский;2;62.8 м²;13;4;6159000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_628_m_413_et._2158406621;;;;;;;;монолитный;
Пермский край, Пермь, ул. Шишкина, 12| р-н Кировский;2;44.6 м²;5;4;2380000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_446m_45et._2235424629;косметический;совмещенный;на улицу;балкон;;;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Косякова, 16| р-н Орджоникидзевский;1;37 м²;17;12;2380000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_37m_1217et._1565439457;;;;лоджия;2018;2;;кирпичный;открытая во дворе
ул. Николая Островского, д. 52| р-н Свердловский;2;62.8 м²;13;4;6159000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_628_m_413_et._2158406621;;;;;;;;монолитный;
Пермь, улица Карла Модераха, 6| р-н Свердловский;3;82 м²;25;10;6008000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_82m_1025et._2204422048;;раздельный;на улицу;лоджия;;1;;монолитный;подземная, открытая во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;2;58.2 м²;10;9;3705067;https://www.avito.ru/perm/kvartiry/2-k._kvartira_582m_910et._2099707179;;раздельный;на улицу;лоджия;;1;;панельный;подземная, открытая во дворе
Пермский край, Пермь, Стахановская ул., 7| р-н Индустриальный;1;32 м²;5;1;2400000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_15et._2225058081;;;;балкон;1971;;;панельный;
Пермский край, Пермь, Кировоградская ул., 6| р-н Кировский;2;77 м²;10;6;4300000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_77m_610et._2213130658;косметический;раздельный;во двор;лоджия;2006;1;мусоропровод, газоснабжение;монолитный;за шлагбаумом во дворе
Пермский край, Пермь, Рабочая ул.| р-н Дзержинский;4;333.1 м²;20;19;17900000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_3331_m_1920_et._2112139007;;;;;;;;кирпичный;
Пермский край, Пермь, Кронштадтская ул., 10| р-н Дзержинский;3;58.2 м²;14;5;4100000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_582m_514et._2217833835;;раздельный;на улицу, во двор;лоджия;1977;1;газоснабжение;кирпичный;
ул. Николая Островского, д. 52| р-н Свердловский;4;96.7 м²;13;6;8859000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_967_m_613_et._2158853171;;;;;;;;монолитный;
Пермский край, Пермь, ул. Космонавта Беляева, 40В| р-н Индустриальный;3;94 м²;25;22;7990000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_94m_2225et._2133965718;дизайнерский;несколько;на улицу;балкон;2012;2;консьерж;монолитный;за шлагбаумом во дворе
Пермский край, Пермь, Кировоградская ул., 46| р-н Кировский;4;196 м²;6;4;15800000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_196m_46et._2133164403;дизайнерский;несколько;на улицу, во двор;лоджия;2001;1;консьерж, мусоропровод;кирпичный;подземная, за шлагбаумом во дворе, открытая во дворе
Пермский край, Пермь, ул. Репина, 75| р-н Орджоникидзевский;3;60 м²;5;3;2550000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_60m_35et._2231933830;;раздельный;на улицу, во двор;балкон;;;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Тимирязева, 26| р-н Свердловский;2;69 м²;10;2;6500000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_69m_210et._2236838144;косметический;раздельный;во двор;нет;2003;;;кирпичный;открытая во дворе
Пермский край, Пермь, Сочинская ул., 6| р-н Дзержинский;2;41.7 м²;5;1;2300000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_417m_15et._2192411963;косметический;совмещенный;во двор;балкон;1968;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, 1-я Красноармейская ул., 46| р-н Свердловский;1;30 м²;5;1;2790000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_15et._2216261803;косметический;совмещенный;во двор;нет;1963;;газоснабжение;кирпичный;
ул. Емельяна Ярославского, д. 60| р-н Свердловский;2;39.3 м²;24;9;3186000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_393_m_924_et._2212618500;;;;лоджия;;;;монолитный;
Пермский край, Пермь, ул. Дениса Давыдова, 11| р-н Индустриальный;3;70.3 м²;22;14;7399000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_703m_1422et._2217354269;;раздельный;;лоджия;2021;;;монолитный;подземная, за шлагбаумом во дворе
Пермский край, Пермь, ул. Юрша, 21| р-н Мотовилихинский;1;34 м²;10;2;2690000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_210et._2178094013;;раздельный;во двор;балкон;;1;мусоропровод, газоснабжение;панельный;открытая во дворе
ул. Анри Барбюса, д. 43| р-н Мотовилихинский;1;38.5 м²;10;7;2929040;https://www.avito.ru/perm/kvartiry/1-k._kvartira_385m_710et._1750088131;;совмещенный;;балкон;;;;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Луначарского, 26А| р-н Ленинский;1;36.7 м²;4;3;2800000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_367m_34et._2212362996;евро;совмещенный;во двор;нет;1949;;;кирпичный;
Пермский край, Пермь, ул. Солдатова, 35| р-н Свердловский;1;20.9 м²;9;9;1600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_209m_99et._2228859924;косметический;совмещенный;на улицу;балкон;1979;1;мусоропровод, газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Милиционера Власова, 31| р-н Индустриальный;3;61.2 м²;5;1;3350000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_612m_15et._2099924308;;совмещенный;на улицу, во двор;балкон;;0;газоснабжение;панельный;
Пермский край, Пермь, Екатерининская ул., 122| р-н Ленинский;студия;29 м²;17;8;3500000;https://www.avito.ru/perm/kvartiry/apartamenty-studiya_29m_817et._2058027319;дизайнерский;совмещенный;на улицу;нет;2014;1;консьерж;монолитный;
Пермский край, Пермь, Стахановская ул., 49А| р-н Индустриальный;1;17.3 м²;5;3;1299000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_173m_35et._2221580343;евро;совмещенный;;нет;;;;кирпичный;открытая во дворе
ул. Татьяны Барамзиной, д. 38| р-н Дзержинский;2;48 м²;25;3;3830000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_48_m_325_et._2210542706;;;;;;;;кирпичный;
Пермский край, Пермь, ул. Гусарова, 18А| р-н Свердловский;3;48.1 м²;5;4;2890000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_481_m_45_et._2153352572;;;во двор;;;;;панельный;
Пермский край, Пермь, ул. Голева, 3| р-н Дзержинский;3;48.3 м²;5;2;3800000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_483m_25et._2197220438;евро;совмещенный;на улицу, во двор;балкон;1966;0;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Чернышевского, 15Г| р-н Свердловский;2;56.3 м²;19;8;4990000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_563m_819et._2221425515;косметический;раздельный;во двор;лоджия;2013;1;консьерж;монолитный;
Пермский край, Пермь, ул. Маршала Рыбалко, 105А| р-н Кировский;1;30 м²;5;5;1800000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_55et._2225753484;требует ремонта;раздельный;во двор;балкон;1965;;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Вильямса, 37А| р-н Орджоникидзевский;2;42 м²;5;3;1875000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_42m_35et._2177930751;требует ремонта;совмещенный;на улицу, во двор;балкон;1961;0;;кирпичный;
Пермский край, Пермь, ул. Красные Казармы, 69| р-н Свердловский;2;39.5 м²;25;8;3720000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_395m_825et._2220225541;косметический;совмещенный;на улицу;лоджия;2018;2;;монолитный;открытая во дворе
Пермский край, Пермь, ул. Мира, 25| р-н Индустриальный;1;36 м²;17;14;3400000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_36m_1417et._2192185847;;совмещенный;во двор;лоджия;2012;1;консьерж, мусоропровод;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, Стахановская ул., 6| р-н Индустриальный;1;35 м²;9;1;3250000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_19et._2231747202;косметический;раздельный;во двор;лоджия;1980;1;мусоропровод, газоснабжение;кирпичный;открытая во дворе
ул. Яблочкова, д. 3| р-н Свердловский;2;53 м²;17;2;2950000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_53m_217et._2233215144;;совмещенный;на улицу;лоджия;;1;;панельный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Мира, 16| р-н Индустриальный;3;56.9 м²;5;2;3390000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_569m_25et._2233561945;косметический;совмещенный;на улицу, во двор;балкон;1965;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Бородинская ул., 26| р-н Свердловский;1;31.8 м²;5;5;2400000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_318m_55et._2236192570;евро;совмещенный;на улицу, во двор;нет;1962;0;газоснабжение;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Подводников, 88Б| р-н Индустриальный;2;62 м²;17;14;4800000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_62m_1417et._2198464674;требует ремонта;совмещенный;на улицу, во двор;балкон;2021;1;;кирпичный;
Пермский край, Пермь, ул. Николая Островского, 111А| р-н Свердловский;2;53 м²;10;6;4700000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_53m_610et._2020806015;дизайнерский;раздельный;;лоджия;;1;мусоропровод, газоснабжение;кирпичный;
Пермский край, Пермь, ул. Липатова, 6| р-н Кировский;1;30 м²;5;4;1600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_30m_45et._2138086663;косметический;совмещенный;;нет;;;;кирпичный;
;;;;;;https://www.avito.ru/perm/kvartiry/2-k._kvartira_42m_45et._1281436271;;;;;;;;;
Пермский край, Пермь, ул. Генерала Черняховского, 57| р-н Орджоникидзевский;1;38.8 м²;10;2;2180000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_388m_210et._2216124888;;;во двор;балкон;2011;;мусоропровод;панельный;открытая во дворе
Пермский край, Пермь, Уинская ул., 68| р-н Мотовилихинский;студия;20.4 м²;5;5;2400000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_204m_55et._2213262745;евро;совмещенный;на улицу;лоджия;2019;0;;монолитный;открытая во дворе
Пермский край, Пермь, Стахановская ул., 59А| р-н Индустриальный;1;30.4 м²;5;2;2560000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_304m_25et._2213536768;косметический;раздельный;;балкон;1964;;;кирпичный;
Пермский край, Пермь, ул. Красные Казармы, 68| р-н Свердловский;2;61 м²;25;7;5700000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_61m_725et._2173352337;евро;совмещенный;на улицу, во двор;лоджия;2018;2;;монолитный;открытая во дворе
Пермский край, Пермь, ул. Маршала Толбухина, 40| р-н Орджоникидзевский;1;31.7 м²;2;1;1250000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_317m_12et._2207663584;косметический;совмещенный;во двор;нет;;;;кирпичный;
Пермский край, Пермь, ул. Кронита, 4/2| р-н Орджоникидзевский;2;63 м²;16;7;2900000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_63m_716et._2009414974;;;на улицу;лоджия;;;;панельный;
Пермский край, Пермь, ул. КИМ, 86| р-н Мотовилихинский;1;33 м²;5;1;2000000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_33m_15et._2034224653;косметический;совмещенный;на улицу;нет;1965;;газоснабжение;кирпичный;открытая во дворе
Пермь, Боровая улица, 21| р-н Дзержинский;4;137.3 м²;7;4;15523000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_1373m_47et._2056883660;;несколько;на улицу, во двор;балкон;;0;;монолитный;подземная
ул. Анри Барбюса, д. 43| р-н Мотовилихинский;студия;30.7 м²;10;4;2528625;https://www.avito.ru/perm/kvartiry/kvartira-studiya_307m_410et._1750087887;;совмещенный;;балкон;;;;кирпичный;наземная многоуровневая, за шлагбаумом во дворе
Пермский край, Пермь, ул. Репина, 2А| р-н Орджоникидзевский;3;57 м²;5;1;2100000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_57m_15et._2218535423;косметический;совмещенный;на улицу, во двор;нет;1963;0;газоснабжение;блочный;открытая во дворе
Пермский край, Пермь, Пихтовая ул., 40А| р-н Свердловский;1;31 м²;5;2;2100000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_25et._2196636862;;совмещенный;на улицу;балкон;1962;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Самаркандская ул., 147| р-н Свердловский;1;35.1 м²;19;18;3510000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_351_m_1819_et._2204568616;;;на улицу, во двор;лоджия;;;;кирпичный;
Пермский край, Пермь, Стахановская ул., 2| р-н Индустриальный;3;51.6 м²;9;4;3450000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_516_m_49_et._2204013332;;;;лоджия;;;;кирпичный;
Пермский край, Пермь, Пионерская ул., 15| р-н Свердловский;3;59 м²;3;3;4300000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_59m_33et._2196631941;дизайнерский;;во двор;балкон;;;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Николая Островского, 55| р-н Свердловский;1;38.1 м²;13;8;3400000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_381m_813et._2201776860;требует ремонта;совмещенный;на улицу;нет;1989;;;кирпичный;
ул. Анри Барбюса, д. 43| р-н Мотовилихинский;2;57.5 м²;10;3;4311000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_575m_310et._1750087803;;раздельный;;балкон;;;;кирпичный;наземная многоуровневая, за шлагбаумом во дворе
Пермский край, Пермь, Иньвенская ул., 17| р-н Мотовилихинский;1;40 м²;9;7;3000000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_79et._1681719336;;;во двор;лоджия;;0;мусоропровод, газоснабжение;кирпичный;открытая во дворе
ул. Кисловодская, д. 12| р-н Дзержинский;3;86 м²;17;1;5500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_86m_117et._2103778961;;раздельный;на улицу, во двор;лоджия;;1;;панельный;открытая во дворе
ул. Цимлянская, д. 19| р-н Орджоникидзевский;1;34.2 м²;16;3;2100000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_342m_316et._1864074414;;совмещенный;на улицу;лоджия;;1;;монолитный;открытая во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;2;58.2 м²;10;9;3705067;https://www.avito.ru/perm/kvartiry/2-k._kvartira_582m_910et._2099707179;;раздельный;на улицу;лоджия;;1;;панельный;подземная, открытая во дворе
Пермский край, Пермь, ул. Вильямса, 37А| р-н Орджоникидзевский;1;31 м²;5;5;1675000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_55et._1739989720;евро;совмещенный;во двор;балкон;1961;;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Парковый пр-т, 39| р-н Дзержинский;3;69 м²;12;12;4399999;https://www.avito.ru/perm/kvartiry/3-k._kvartira_69m_1212et._2179552823;косметический;раздельный;на улицу, во двор;лоджия;;1;мусоропровод;панельный;открытая во дворе
Пермский край, Пермь, Брестская ул., 10| р-н Свердловский;2;43.3 м²;2;1;1700000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_433_m_12_et._2116610079;;;;нет;;;;кирпичный;
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;2;54.1 м²;16;6;3201790;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_616et._2035442021;;раздельный;на улицу;лоджия;;1;;панельный;открытая во дворе
Пермский край, Пермь, ул. Космонавта Беляева, 40В| р-н Индустриальный;3;94 м²;25;22;7990000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_94m_2225et._2133965718;дизайнерский;несколько;на улицу;балкон;2012;2;консьерж;монолитный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Чернышевского, 15А| р-н Свердловский;4;163.6 м²;25;18;16990000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_1636m_1825et._2154255140;дизайнерский;несколько;на улицу, во двор;нет;2009;2;консьерж, мусоропровод;монолитный;подземная, за шлагбаумом во дворе
Пермский край, Пермь, Криворожская ул., 42| р-н Орджоникидзевский;2;42.5 м²;4;2;1720000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_425m_24et._2174860027;косметический;совмещенный;во двор;балкон;1960;0;;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Куйбышева, 7| р-н Ленинский;2;42.4 м²;4;3;3400000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_424m_34et._2224057428;евро;совмещенный;на улицу, во двор;нет;1917;;газоснабжение;кирпичный;
Пермский край, Пермь, 1-й Павловский пр., 4| р-н Орджоникидзевский;1;27 м²;5;2;999000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_27m_25et._2236871643;косметический;;на улицу;балкон;;;газоснабжение;панельный;
Пермский край, Пермь, ул. Сигаева, 2А| р-н Мотовилихинский;1;37.5 м²;10;4;2700000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_375_m_410_et._2180071637;;;;лоджия;;;;панельный;
Пермский край, Пермь, ул. Богдана Хмельницкого, 29| р-н Кировский;1;25 м²;5;3;1450000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_25m_35et._2231411976;;;на улицу;балкон;1975;0;;кирпичный;
Пермский край, Пермь, ул. Дениса Давыдова, 20| р-н Индустриальный;1;32 м²;5;1;2250000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_15et._2214693826;;совмещенный;во двор;нет;;;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, Уральская ул., 51| р-н Мотовилихинский;4;87.4 м²;9;5;4050000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_874m_59et._2108290918;косметический;раздельный;;лоджия;1984;1;;панельный;открытая во дворе
Пермский край, Пермь, Комсомольский пр-т, 49| р-н Свердловский;3;74.3 м²;5;2;5750000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_743_m_25_et._2210239210;;;;балкон;;;;кирпичный;
Пермский край, Пермь, ул. Николая Островского, 6| р-н Ленинский;3;80.6 м²;9;6;7650000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_806m_69et._2114586805;требует ремонта;;на улицу, во двор;лоджия;;1;консьерж;кирпичный;подземная, наземная многоуровневая
Пермский край, Пермь, ул. Крупской, 79| р-н Мотовилихинский;2;43.3 м²;9;7;3500000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_433m_79et._2216628229;косметический;раздельный;на улицу;лоджия;1968;1;мусоропровод, газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Гатчинская ул., 20| р-н Дзержинский;1;37.1 м²;9;3;3300000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_371_m_39_et._2185615084;;;во двор;балкон;;;;кирпичный;
Пермский край, Пермь, Уссурийская ул., 25| р-н Орджоникидзевский;2;55 м²;17;5;2890000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_55m_517et._2231534420;косметический;совмещенный;во двор;балкон;2013;1;мусоропровод;панельный;открытая во дворе
Пермский край, Пермь, Полазненская ул., 26| р-н Свердловский;3;67.4 м²;10;9;3650000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_674m_910et._2180904547;евро;раздельный;во двор;балкон;1991;1;мусоропровод, газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, Пушкарская ул., 128| р-н Мотовилихинский;1;30.2 м²;2;1;2200000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_302m_12et._2226430377;косметический;совмещенный;на улицу, во двор;нет;1959;;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Писарева, 30| р-н Орджоникидзевский;1;32.4 м²;5;4;1800000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_324m_45et._2224058909;косметический;раздельный;на улицу, во двор;балкон;1967;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Архитектора Свиязева, 52| р-н Индустриальный;2;52.9 м²;12;1;3250000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_529m_112et._2184418587;;раздельный;на улицу, во двор;балкон;1975;;мусоропровод, газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Веры Засулич, 46А| р-н Индустриальный;3;72.7 м²;16;11;5200000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_727m_1116et._2054786439;;раздельный;на улицу, во двор;балкон;2015;1;;кирпичный;открытая во дворе
Пермский край, Пермь, пр-т Декабристов, 27| р-н Индустриальный;1;34.5 м²;10;8;2600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_345m_810et._2146753061;;раздельный;;лоджия;;1;мусоропровод, газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Генерала Черняховского, 88| р-н Орджоникидзевский;2;44 м²;5;4;2300000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_45et._2225285115;косметический;совмещенный;на улицу, во двор;балкон;1975;;газоснабжение;панельный;
Пермский край, Пермь, ул. Зенкова, 8| р-н Мотовилихинский;2;56 м²;10;3;3300000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_56m_310et._2225590877;;раздельный;на улицу, во двор;балкон;1987;;мусоропровод;панельный;
ул. Татьяны Барамзиной, д. 38| р-н Дзержинский;студия;30.6 м²;25;18;2720000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_306_m_1825_et._2210708919;;;;балкон;;;;кирпичный;
ул. Теплогорская, д. 24| р-н Индустриальный;2;58.8 м²;9;4;4870000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_588m_49et._2186106987;;раздельный;;лоджия;;;;монолитный;
Пермский край, Пермь, Сапфирная ул., 16| р-н Мотовилихинский;студия;37.2 м²;9;7;3600000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_372_m_79_et._2197529165;;;;балкон;;;;монолитный;
Пермский край, Пермь, ул. Куфонина, 28/1| р-н Дзержинский;1;35 м²;10;8;3000000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_810et._2230486588;косметический;раздельный;на улицу;лоджия;1972;1;мусоропровод, газоснабжение;панельный;за шлагбаумом во дворе, открытая во дворе
