;address;district;number of floors;apartment floor;number of rooms;area of apartment;bathroom;repair;view from the windows;terrace;garbage chute;type of house;parking;concierge;elevator;link;price
984; ул. Василия Каменского, 10А;р-н Дзержинский;16;11.0;2;81.1;раздельный;дизайнерский;на улицу, во двор;лоджия;False;кирпичный;открытая во дворе;True;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_811m_1116et._2185643295;7490000.0
985; Можайская ул., 24;р-н Орджоникидзевский;3;3.0;3;50.0;совмещенный;косметический;на улицу, во двор;балкон;False;кирпичный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/3-k._kvartira_50m_33et._2231448259;2100000.0
986;ул. Самаркандская, д. 143;р-н Свердловский;16;7.0;1;36.5;совмещенный;косметический;во двор;лоджия;False;кирпичный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_365m_716et._2208630898;3700000.0
987;ул. Самаркандская, д. 143;р-н Свердловский;16;7.0;1;36.5;совмещенный;косметический;во двор;лоджия;False;кирпичный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_365m_716et._2208630898;3700000.0
988;ул. Самаркандская, д. 143;р-н Свердловский;16;7.0;1;36.5;совмещенный;косметический;во двор;лоджия;False;кирпичный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_365m_716et._2208630898;3700000.0
989;ул. Самаркандская, д. 143;р-н Свердловский;16;7.0;1;36.5;совмещенный;косметический;во двор;лоджия;False;кирпичный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_365m_716et._2208630898;3700000.0
990; ул. Гашкова, 26;р-н Мотовилихинский;10;10.0;1;33.9;раздельный;евро;во двор;лоджия;True;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_339m_1010et._2204430140;2590000.0
991; ул. Лебедева, 34;р-н Мотовилихинский;18;11.0;1;39.3;совмещенный;евро;на улицу;лоджия;False;монолитный;подземная, за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_393m_1118et._2176873763;3980000.0
992; Буксирная ул., 10;р-н Кировский;26;12.0;1;21.0;совмещенный;требует ремонта;на улицу, во двор;балкон;False;монолитный;открытая во дворе;True;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_21m_1226et._2222856349;2200000.0
993; Косьвинская ул., 9;р-н Свердловский;5;4.0;1;31.1;совмещенный;косметический;на улицу;балкон;False;кирпичный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/1-k._kvartira_311m_45et._2203874933;2250000.0
994; ул. Маршала Толбухина, 6;р-н Орджоникидзевский;9;9.0;2;47.0;раздельный;косметический;на улицу;лоджия;True;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_47m_99et._2188751169;2530000.0
995; ул. Маршала Толбухина, 6;р-н Орджоникидзевский;9;9.0;2;47.0;раздельный;косметический;на улицу;лоджия;True;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_47m_99et._2188751169;2530000.0
996; Рабочая ул., 7;р-н Дзержинский;19;13.0;2;66.0;совмещенный;дизайнерский;на улицу, во двор;лоджия;False;монолитный;подземная, наземная многоуровневая;True;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_66m_1319et._2212444807;6700000.0
997; пр-т Декабристов, 2;р-н Индустриальный;10;7.0;1;35.4;совмещенный;косметический;на улицу;лоджия;False;кирпичный;подземная, за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_354m_710et._2237300547;3250000.0
998; ул. Мира, 26;р-н Индустриальный;5;1.0;1;38.0;совмещенный;косметический;во двор;нет;False;кирпичный;за шлагбаумом во дворе;False;False;https://www.avito.ru/perm/kvartiry/1-k._kvartira_38m_15et._2164812489;2300000.0
