physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;garbage chute;type of house;parking
https://www.avito.ru/perm/kvartiry/3-k._kvartira_76m_35et._1475937334;;3;76м;5;3;от    1990;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_621m_69et._2207432789;ул. Революции, 18  р-н Свердловский;3;62.1м;9;6;5550000;косметический;раздельный;на улицу, во двор;лоджия;1978;1;мусоропровод, газоснабжение;кирпичный;открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_586m_49et._2034926628;ул. Гашкова, д. 59  р-н Мотовилихинский;2;58.6м;9;4;3712944;;раздельный;на улицу, во двор;балкон;;;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_25et._1985913466;ул. Ленина, 47  р-н Ленинский;1;40м;5;2;от    1690;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_641m_616et._2099709024;;;;;;;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_70m_917et._1217764804;ул. Мира, 11  р-н Индустриальный;3;70м;17;9;от    3000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_879_m_725_et._2222840240;ул. Чернышевского, д. 20  р-н Свердловский;3;87.9м;25;7;7259000;;;;;;;;кирпичный;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_455m_516et._2035574486;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;2;45.5м;16;5;2717910;;раздельный;;балкон;;1;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/kvartira-studiya_35m_1416et._2131782009;ул. Веры Засулич, 46  р-н Индустриальный;студия;35м;16;14;от    1000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_666m_79et._2088689056;ул. Белозерская, д. 56  р-н Орджоникидзевский;3;66.6м;9;7;3740256;;раздельный;на улицу;балкон;;1;;монолитный;открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_2025et._2177758832;;;;;;;;;;;;;;;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_468m_29et._2034936459;ул. Гашкова, д. 59  р-н Мотовилихинский;2;46.8м;9;2;3114860;;совмещенный;;лоджия;;1;;панельный;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_60m_625et._2145757871;ул. Революции, 52В  р-н Свердловский;2;60м;25;6;от    2090;;;;;;;;;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_43m_231et._2054049422;ул. Революции, 48В  р-н Свердловский;2;43м;31;2;от    1500;;;;;;;;;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_483_m_2025_et._2197766259;;2;48.3м;25;20;4700000;;;;лоджия;;;;монолитный;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_697_m_717_et._2194922112;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;3;69.7м;17;7;4232611;;раздельный;во двор, на улицу;балкон;;1;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_15et._2222755871;ул. Космонавта Леонова, 38  р-н Индустриальный;2;44м;5;1;25000;;;;;;;;кирпичный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_425et._2201514448;ул. Окулова, 62  р-н Дзержинский;1;40м;25;4;от    1400;;;;;;;;;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_50m_35et._2184320295;ул. Механошина, 12  р-н Свердловский;2;50м;5;3;от    1800;;;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_349m_110et._2176320134;ул. Сакко и Ванцетти, 93А  р-н Мотовилихинский;1;34.9м;10;1;3050000;;;во двор;балкон;2020;;;монолитный;открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_32m_45et._2164928480;ул. Мира, 107  р-н Индустриальный;1;32м;5;4;2300000;косметический;совмещенный;;нет;1962;;;кирпичный;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_113_m26_et._2060448808;ул. Степана Разина, 38  р-н Мотовилихинский;3;113м;6;2;8000000;;несколько;на улицу, во двор;балкон;;;консьерж, газоснабжение;панельный;за шлагбаумом во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_37m_89et._2189651073;ул. Льва Толстого, 2  р-н Индустриальный;1;37м;9;8;3500000;косметический;совмещенный;во двор;лоджия;2013;1;консьерж;кирпичный;открытая во дворе
https://www.avito.ru/perm/kvartiry/3-k._kvartira_70m_1725et._2223384280;ул. Фрезеровщиков, 94  р-н Мотовилихинский;3;70м;25;17;5900000;косметический;раздельный;на улицу;балкон;2017;2;консьерж;монолитный;открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_379_m_1417_et._2195363371;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;1;37.9м;17;14;2428078;;совмещенный;во двор, на улицу;балкон;;1;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_425m_24et._2174860027;;2;42.5м;4;2;;косметический;совмещенный;во двор;балкон;1960;0;;кирпичный;открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_459m_45et._2232428173;ул., 98  р-н Кировский;2;45.9м;5;4;2400000;косметический;совмещенный;во двор;балкон;1965;;газоснабжение;кирпичный;открытая во дворе
